index,mtx,cvt_time,gflops
0,2430_mc2depi.mtx,0.279264,224.412929
1,2453_pkustk07.mtx,0.171008,279.061161
2,2305_msc10848.mtx,0.155648,163.184329
3,2449_rma10.mtx,0.169984,317.975640
4,2479_ramage02.mtx,0.178016,352.451742
5,2412_opt1.mtx,0.168960,270.018649
6,2420_TSC_OPF_1047.mtx,0.166912,229.200086
7,2413_trdheim.mtx,0.168736,284.830322
8,2148_heart3.mtx,0.152544,137.341700
9,2200_nemeth19.mtx,0.154624,133.320495
10,2340_raefsky3.mtx,0.164864,236.191204
11,2634_TSOPF_RS_b678_c2.mtx,0.388928,147.558877
