index,mtx,cvt_time,gflops
0,1009_lp_ship12l.mtx,,3.23125
1,0637_bcspwr07.mtx,,1.71336
2,1471_thermal.mtx,,13.7792
3,2201_fe_ocean.mtx,,145.89
4,2480_Trec14.mtx,,257.701
5,1657_bloweybl.mtx,,22.0567
6,0494_str_600.mtx,,0.841121
7,0153_sphere2.mtx,,0.135279
8,2027_GT01R.mtx,,67.5891
9,0309_oscil_dcop_01.mtx,,0.463376
10,2149_TSOPF_RS_b39_c19.mtx,,136.71
11,2687_venturiLevel3.mtx,,102.386
12,1504_descriptor_xingo6u.mtx,,21.2596
13,1396_aa6.mtx,,7.24862
14,2397_com-Amazon.mtx,,111.054
15,1460_rajat07.mtx,,19.0551
16,2193_ky2010.mtx,,116.607
17,0491_685_bus.mtx,,0.975512
18,0944_grid2_dual.mtx,,3.53128
19,2132_blockqp1.mtx,,91.0993
20,0035_n3c4-b3.mtx,,0.061057
21,2749_nlpkkt80.mtx,,136.322
22,0267_n3c6-b2.mtx,,0.443449
23,0686_fpga_dcop_21.mtx,,1.79501
24,2023_loc-Brightkite.mtx,,76.556
25,0297_oscil_dcop_13.mtx,,0.479889
26,1443_viscoplastic1.mtx,,13.3391
27,0908_adder_dcop_52.mtx,,2.60031
28,0067_lpi_woodinfe.mtx,,0.0447818
29,0287_oscil_dcop_24.mtx,,0.463592
30,1562_tuma1.mtx,,24.7554
31,0824_p2756.mtx,,2.15165
32,2297_Linux_call_graph.mtx,,139.464
33,1768_brainpc2.mtx,,33.2119
34,0594_tumorAntiAngiogenesis_6.mtx,,1.14116
35,0365_tols90.mtx,,0.378705
36,2203_rel8.mtx,,20.6554
37,0879_adder_dcop_61.mtx,,2.6921
38,2422_net100.mtx,,236.687
39,1922_lp_osa_14.mtx,,36.335
40,2529_ASIC_680k.mtx,,276.404
41,0715_minnesota.mtx,,1.94459
42,2486_rgg_n_2_18_s0.mtx,,302.717
43,0068_mycielskian5.mtx,,0.142813
44,1459_car4.mtx,,18.3381
45,2825_mawi_201512020030.mtx,,82.2639
46,0666_fpga_dcop_39.mtx,,1.67708
47,2507_amazon0601.mtx,,144.268
48,2151_neos2.mtx,,136.802
49,1454_gen.mtx,,8.67035
50,1176_tomography.mtx,,4.65027
51,0763_jagmesh5.mtx,,2.1877
52,2470_GL7d23.mtx,,119.425
53,1473_flowmeter0.mtx,,18.3012
54,2089_cage11.mtx,,112.342
55,0106_bibd_9_3.mtx,,0.0711794
56,1317_Trefethen_2000.mtx,,7.77075
57,2424_bcsstk30.mtx,,291.52
58,0698_bcspwr08.mtx,,1.77993
59,2789_road_usa.mtx,,84.97
60,2184_dc2.mtx,,87.155
61,0198_can_96.mtx,,0.22368
62,1536_c-40.mtx,,20.3141
63,2177_copter2.mtx,,148.264
64,1352_IG5-12.mtx,,8.47019
65,1792_world.mtx,,50.8234
66,1715_case9.mtx,,29.8932
67,0900_adder_dcop_22.mtx,,2.60004
68,1265_GL7d12.mtx,,10.1411
69,0792_nnc1374.mtx,,2.38294
70,1600_ex15.mtx,,22.6247
71,0578_cdde2.mtx,,1.4079
72,0238_rdb200l.mtx,,0.32979
73,1185_deter5.mtx,,8.17885
74,0609_cage.mtx,,1.12866
75,0253_mk10-b1.mtx,,0.387062
