index,mtx,gflops
0,0086_GD96_b.mtx,0.000000
1,0003_mycielskian2.mtx,0.000003
2,3000_0006_real.mtx,matrix squaring must have rowA == colA. Exit.
3,0006_mycielskian3.mtx,0.000018
4,0008_b1_ss.mtx,0.000073
5,0029_bcsstm01.mtx,0.000105
6,0015_Tina_AskCal.mtx,0.000032
7,0039_bcsstm02.mtx,0.000141
8,0011_cage3.mtx,0.000166
9,0021_GD01_b.mtx,0.000160
10,0033_GD95_a.mtx,0.000134
11,0019_Tina_AskCog.mtx,0.000227
12,0055_bcsstm03.mtx,0.000226
13,0050_GD95_b.mtx,0.000231
14,0063_bcsstm04.mtx,0.000277
15,0066_bcsstm22.mtx,0.000281
16,0025_Tina_DisCal.mtx,0.000297
17,0022_mycielskian4.mtx,0.000331
18,0076_bcsstm05.mtx,0.000328
19,0031_GD98_a.mtx,0.000335
20,0027_LFAT5.mtx,0.000362
21,0059_GlossGT.mtx,0.000362
22,0057_football.mtx,0.000368
23,0028_Tina_DisCog.mtx,0.000412
24,0073_GD99_c.mtx,0.000489
25,0038_Ragusa18.mtx,0.000510
26,0032_jgl009.mtx,0.000544
27,0030_cage4.mtx,0.000566
28,0052_Hamrle1.mtx,0.000638
29,0045_LF10.mtx,0.000763
30,0139_odepb400.mtx,0.000856
31,0088_n3c6-b1.mtx,0.000904
32,0146_bcsstm06.mtx,0.000917
33,0155_GD00_a.mtx,0.000473
34,0074_d_ss.mtx,0.000834
35,0044_Ragusa16.mtx,0.000925
36,0062_bcspwr01.mtx,0.000958
37,0162_bcsstm20.mtx,0.001004
38,0156_GD97_c.mtx,0.000978
39,0043_jgl011.mtx,0.001065
40,0047_GD02_a.mtx,0.000455
41,0061_ibm32.mtx,0.001068
42,0087_GD98_b.mtx,0.001011
43,0094_GD96_d.mtx,0.000885
44,0042_rgg010.mtx,0.001228
45,0095_GD02_b.mtx,0.001123
46,0065_GD01_c.mtx,0.001170
47,0098_d_dyn.mtx,0.001182
48,0099_d_dyn1.mtx,0.001199
49,0081_bcspwr02.mtx,0.001350
50,0092_dwt_72.mtx,0.001388
51,0108_cat_ears_2_1.mtx,0.001410
52,0048_Stranke94.mtx,0.001689
53,0203_bcsstm19.mtx,0.001697
54,0091_can_62.mtx,0.001469
55,0212_plskz362.mtx,0.001729
56,0133_west0156.mtx,0.001579
57,0117_pivtol.mtx,0.001875
58,0068_mycielskian5.mtx,0.002015
59,0105_GD99_b.mtx,0.002006
60,0103_GD96_c.mtx,0.001221
61,0127_GD98_c.mtx,0.002091
62,0084_pores_1.mtx,0.002270
63,0236_bcsstm08.mtx,0.002266
64,0237_bcsstm09.mtx,0.002307
65,0080_can_24.mtx,0.002383
66,0070_Trefethen_20b.mtx,0.002261
67,0102_Sandi_authors.mtx,0.002348
68,0176_08blocks.mtx,0.002264
69,0077_karate.mtx,0.002424
70,0082_lap_25.mtx,0.002482
71,0078_Trefethen_20.mtx,0.002506
72,0110_dwt_59.mtx,0.002361
73,0116_west0067.mtx,0.002333
74,0126_GD97_a.mtx,0.002305
75,0144_impcol_c.mtx,0.002308
76,0145_west0132.mtx,0.002655
77,0183_GD01_Acap.mtx,0.002779
78,0184_GD01_a.mtx,0.002875
79,0164_west0167.mtx,0.002447
80,0276_bcsstm11.mtx,0.002952
81,0137_olm100.mtx,0.002075
82,0138_tub100.mtx,0.002362
83,0124_dwt_66.mtx,0.001829
84,0363_CSphd.mtx,0.003258
85,0112_will57.mtx,0.001867
86,0175_impcol_a.mtx,0.003120
87,0096_cage5.mtx,0.002042
88,0149_gre_115.mtx,0.003097
89,0121_impcol_b.mtx,0.003331
90,0113_GD95_c.mtx,0.003326
91,0161_rw136.mtx,0.003555
92,0115_curtis54.mtx,0.003182
93,0381_bcsstm26.mtx,0.001470
94,0119_mesh1em1.mtx,0.004184
95,0120_mesh1em6.mtx,0.004004
96,0118_mesh1e1.mtx,0.004098
97,0131_bfwb62.mtx,0.004130
98,0123_dolphins.mtx,0.004504
99,0356_GD96_a.mtx,0.004043
100,0160_bcspwr03.mtx,0.004218
101,0134_can_73.mtx,0.004515
102,0109_GD97_b.mtx,0.004633
103,0193_will199.mtx,0.004431
104,0186_gent113.mtx,0.004945
105,0153_sphere2.mtx,0.006143
106,0223_SmallW.mtx,0.005560
107,0476_bcsstm23.mtx,0.006697
108,0169_lns_131.mtx,0.006216
109,0168_lnsp_131.mtx,0.006125
110,0111_ex5.mtx,0.006493
111,0201_bwm200.mtx,0.005555
112,0205_grid1_dual.mtx,0.005637
113,0490_bibd_81_2.mtx,0.006612
114,0167_ash85.mtx,0.006375
115,0357_shl_0.mtx,0.006570
116,0140_bcsstk01.mtx,0.007193
117,0204_dwt_234.mtx,0.006853
118,0262_S10PI_n1.mtx,0.006892
119,0261_M10PI_n1.mtx,0.006988
120,0508_bcsstm24.mtx,0.007390
121,0227_GD00_c.mtx,0.006738
122,0510_bcsstm21.mtx,0.007332
123,0246_odepa400.mtx,0.003934
124,0359_shl_400.mtx,0.004325
125,0361_shl_200.mtx,0.007040
126,0219_grid1.mtx,0.005974
127,0211_gre_216a.mtx,0.006924
128,0210_gre_216b.mtx,0.006910
129,0182_bcsstk03.mtx,0.006800
130,0177_nos4.mtx,0.007344
131,0152_bfwa62.mtx,0.007623
132,0170_dwt_87.mtx,0.007534
133,0192_bcsstk22.mtx,0.007026
134,0719_EVA.mtx,0.007730
135,0135_GD06_theory.mtx,0.007760
136,0350_M10PI_n.mtx,0.008208
137,0351_S10PI_n.mtx,0.008289
138,0549_t2dal_e.mtx,0.003328
139,0264_impcol_d.mtx,0.008723
140,0130_chesapeake.mtx,0.008819
141,0226_nos1.mtx,0.008796
142,0595_plsk1919.mtx,0.009381
143,0209_robot.mtx,0.008281
144,0231_pde225.mtx,0.010501
145,0217_lop163.mtx,0.010870
146,0240_saylr1.mtx,0.010256
147,0224_gre_185.mtx,0.009721
148,0159_mycielskian6.mtx,0.011487
149,0362_west0497.mtx,0.010766
150,0174_can_61.mtx,0.011430
151,0165_lesmis.mtx,0.011834
152,0202_rajat11.mtx,0.011541
153,0273_gre_343.mtx,0.010538
154,0238_rdb200l.mtx,0.012547
155,0239_rdb200.mtx,0.012659
156,0198_can_96.mtx,0.013037
157,0299_oscil_dcop_28.mtx,0.010320
158,0339_oscil_dcop_35.mtx,0.010661
159,0334_oscil_dcop_53.mtx,0.010822
