index,mtx,m,n,nnz,mp16,mp4,mpnz,128-ds-cycle,128-ds-mac,128-rm-cycle,128-rm-mac,128-smu-cycle,128-smu-mac,128-ds-energy,128-rm-energy,128-smu-energy,128-smu-speedup,64-ds-cycle,64-ds-mac,64-rm-cycle,64-rm-mac,64-smu-cycle,64-smu-mac,64-ds-energy,64-rm-energy,64-smu-energy,64-smu-speedup,128-ds-mt125,128-ds-mt25,128-ds-mt50,128-ds-mt75,128-ds-mt100,128-rm-mt125,128-rm-mt25,128-rm-mt50,128-rm-mt75,128-rm-mt100,128-smu-mt125,128-smu-mt25,128-smu-mt50,128-smu-mt75,128-smu-mt100,64-ds-mt125,64-ds-mt25,64-ds-mt50,64-ds-mt75,64-ds-mt100,64-rm-mt125,64-rm-mt25,64-rm-mt50,64-rm-mt75,64-rm-mt100,64-smu-mt125,64-smu-mt25,64-smu-mt50,64-smu-mt75,64-smu-mt100,128-ds-a-ntr,128-ds-b-ntr,128-ds-c-ntr,128-rm-a-ntr,128-rm-b-ntr,128-rm-c-ntr,128-smu-a-ntr,128-smu-b-ntr,128-smu-c-ntr,64-ds-a-ntr,64-ds-b-ntr,64-ds-c-ntr,64-rm-a-ntr,64-rm-b-ntr,64-rm-c-ntr,64-smu-a-ntr,64-smu-b-ntr,64-smu-c-ntr,128-ds-nt125,128-ds-nt25,128-ds-nt50,128-ds-nt75,128-ds-nt100,128-rm-nt125,128-rm-nt25,128-rm-nt50,128-rm-nt75,128-rm-nt100,128-smu-nt125,128-smu-nt25,128-smu-nt50,128-smu-nt75,128-smu-nt100,64-ds-nt125,64-ds-nt25,64-ds-nt50,64-ds-nt75,64-ds-nt100,64-rm-nt125,64-rm-nt25,64-rm-nt50,64-rm-nt75,64-rm-nt100,64-smu-nt125,64-smu-nt25,64-smu-nt50,64-smu-nt75,64-smu-nt100,128-rm-c-nut,128-smu-a-nut,128-smu-b-nut,128-smu-c-nut,64-rm-c-nut,64-smu-a-nut,64-smu-b-nut,64-smu-c-nut
0,0580_cdde4.mtx,961,961,4681,1471,11225,22917,9153,1.96,1751,10.22,2669,6.71,444.62,295.11,247.20,0.00,9153,3.91,2907,12.32,2669,13.42,444.62,298.52,247.20,0.00,9153,0,0,0,0,1399,116,176,60,0,2301,261,107,0,0,8368,785,0,0,0,2203,256,328,120,0,1865,436,261,101,6,14379,14379,22917,14379,18224,32747,21583,22247,20129,14379,14379,22917,14379,18518,32747,21583,22247,20129,22917,0,0,0,0,12714,16518,3515,0,0,8209,1392,7340,150,3038,22917,0,0,0,0,12714,16518,3515,0,0,8209,1392,7340,150,3038,29280.96,6189.47,6605.60,14296.77,29485.53,6189.47,6605.60,14296.77
1,1700_stokes64.mtx,12546,12546,140034,65305,312577,1636122,331042,3.86,77425,16.51,100749,12.69,24967.91,18132.42,12285.65,0.00,331042,7.72,102801,24.87,100765,25.37,24967.91,18314.54,12274.87,0.00,331042,0,0,0,0,47249,8352,15376,6448,0,62699,19807,17275,968,0,271651,59391,0,0,0,46825,13999,27849,14128,0,47545,14768,20209,12314,5929,724301,724301,1636122,724301,990556,1711518,1026430,1042762,1196122,724301,724301,1636122,724301,1032084,1711518,1026630,1038394,1196122,1636122,0,0,0,0,105938,1116105,489475,0,0,160899,167964,351638,330355,185266,1636122,0,0,0,0,105938,1116105,489475,0,0,160899,167964,351638,330355,185266,1413930.95,375615.20,383541.28,842174.48,1526957.24,374690.33,380880.93,844490.85
2,0135_GD06_theory.mtx,101,101,380,343,2414,4070,916,3.47,537,5.92,563,5.65,68.23,38.03,33.87,0.00,956,6.65,850,7.48,563,11.30,68.23,41.85,33.96,0.00,874,29,8,5,0,479,39,16,3,0,491,62,7,3,0,853,81,9,5,8,740,74,30,6,0,408,81,62,6,6,1748,1843,4070,2071,1756,5841,2311,2375,4008,1843,1843,4070,2071,2550,5841,2319,2399,4008,3337,357,376,0,0,1442,2394,2005,0,0,1600,1604,168,380,256,3393,677,0,0,0,1442,2394,2005,0,0,1600,1604,168,380,256,3579.93,650.21,674.80,3181.02,3906.41,652.18,690.15,3165.64
3,1835_lowThrust_12.mtx,18458,18458,224593,394455,4060168,105756931,1939671,42.60,1093729,75.54,1065849,77.52,964632.88,338700.67,414554.44,0.00,2750048,60.09,1988774,83.09,1874569,88.15,964632.88,398312.95,432210.00,0.00,1119981,9055,7184,635,802816,241785,33261,12437,6070,800176,224121,21538,9203,4204,806783,1106561,19375,12574,3352,1608186,289181,54943,35250,7630,1601770,178962,45925,22346,7020,1620316,8196926,14637442,105756931,27641096,8353011,55960462,8671479,27944827,53857116,14637442,14637442,105756931,27641096,14835802,55960462,15116826,27984190,53857116,2607231,339268,102810432,0,0,1807760,52646482,1506220,0,0,555060,610804,653784,441868,51595600,2735721,103021210,0,0,0,1807760,52646482,1506220,0,0,555060,610804,653784,441868,51595600,54760113.12,5331029.80,18958099.94,38079744.94,55209328.06,7193094.75,13624846.32,27384104.49
4,2038_qc2534.mtx,2534,2534,463360,44033,1627480,84728996,901785,73.40,779737,84.89,692338,95.61,576784.55,221523.49,248720.87,0.00,1620963,81.67,1480012,89.45,1340858,98.73,576784.55,269196.41,274751.42,0.00,195833,22652,43485,38203,601612,29127,59122,54836,31661,604991,9025,5244,28659,5049,644361,254547,25669,56394,57267,1227086,35995,84120,83172,42469,1234256,3996,6805,9417,5481,1315159,6515596,11714853,84728996,22146128,6556022,44610590,12957307,21989314,22810600,11714853,11714853,84728996,22146128,11753815,44610590,22230087,22310859,22810600,2621688,2344178,79763130,0,0,452984,42448554,1709052,0,0,9290,546120,237376,1581824,20435990,3912534,80816462,0,0,0,452984,42448554,1709052,0,0,9290,546120,237376,1581824,20435990,43571017.31,6705100.22,11250292.83,12695493.44,44084018.54,8296998.89,8344090.01,9602102.89
5,1242_soc-sign-bitcoin-otc.mtx,5881,5881,35592,1140791,2157856,2301858,977823,1.84,971914,1.85,953055,1.89,46723.59,30467.06,21025.21,0.00,981485,3.66,1140695,3.15,953075,3.77,46723.59,32251.91,21027.39,0.00,970349,6495,917,56,6,966707,4743,427,37,0,946096,6368,558,24,9,948899,25872,5956,604,154,1125298,14016,1278,99,4,916893,29208,6376,494,104,1395795,1511276,2301858,1455736,1530264,3709548,1509397,1619864,2293184,1402098,1511276,2301858,1455736,1815408,3709548,1509772,1620317,2293184,2258635,38303,4920,0,0,1851960,1276394,581194,0,0,1924629,289252,66783,11741,779,2269038,32820,0,0,0,1851960,1276394,581194,0,0,1924629,289252,66783,11741,779,1313961.41,231069.15,257809.36,1370782.44,1606318.04,231210.47,257979.46,1370650.95
6,1016_rbsa480.mtx,480,480,17088,18422,231593,608880,66632,7.14,66536,7.15,38370,12.40,8373.22,6232.11,4311.74,0.00,70004,13.59,90401,10.52,38634,24.63,8373.22,6654.89,4340.68,0.00,58606,5870,1922,223,11,57288,6811,2159,244,34,24960,9071,3801,470,68,48970,13572,6089,1215,158,70475,13816,5378,658,74,15164,9898,9137,2816,1619,164309,243217,608880,214935,383961,707686,337858,392170,525263,173418,243217,608880,214935,461299,707686,343662,397334,525263,505566,84376,18938,0,0,40166,195806,471714,0,0,138655,175656,174221,34872,1859,549141,59739,0,0,0,40166,195806,471714,0,0,138655,175656,174221,34872,1859,350537.56,120460.67,143429.87,438798.01,393589.34,122600.93,145043.90,436497.43
7,1759_c-45.mtx,13206,13206,174452,167392,3202594,97950686,1349613,56.70,1199260,63.81,882938,86.67,759143.25,311355.61,333260.15,0.00,2137298,71.61,2218838,68.98,1624576,94.21,759143.25,380360.02,363184.93,0.00,311788,151508,216626,80607,589084,129204,134617,334471,61374,539594,52873,22488,55018,44103,708456,273913,118745,316923,202386,1225331,146352,174906,674853,165268,1057459,33661,28152,48237,35167,1479359,8447378,14027519,97950686,25904893,9486626,59061892,16558444,26406277,37786816,14027519,14027519,97950686,25904893,16999570,59061892,25232213,28839976,37786816,6030603,11585403,80334680,0,0,1439644,44109296,13512952,0,0,164230,1560724,1785982,2456288,31819592,11280160,86670526,0,0,0,1439644,44109296,13512952,0,0,164230,1560724,1785982,2456288,31819592,55045053.37,9515021.65,15344942.44,27961388.71,55697424.47,10730870.84,12788038.06,21642178.01
8,0780_diag.mtx,2559,2559,8184,2370,15804,26588,7894,2.63,2565,8.10,3724,5.58,446.09,355.04,286.78,0.00,7894,5.26,3578,11.61,3724,11.16,446.09,368.22,286.78,0.00,7894,0,0,0,0,2249,127,30,159,0,3225,483,16,0,0,6578,1316,0,0,0,2783,365,111,317,2,2592,633,483,16,0,13327,13327,26588,13327,16884,32330,22052,23563,24509,13327,13327,26588,13327,19411,32330,22052,23563,24509,26588,0,0,0,0,8908,12080,11342,0,0,8698,7542,8269,0,0,26588,0,0,0,0,8908,12080,11342,0,0,8698,7542,8269,0,0,23481.77,6007.54,6486.72,18734.22,25292.32,6007.54,6486.72,18734.22
9,2481_TSOPF_RS_b300_c2.mtx,28338,28338,2943887,220899,2421356,23017811,2506896,7.17,784060,22.94,399080,45.06,406744.92,243538.51,202899.53,0.00,3197034,11.25,1316459,27.32,481043,74.77,406744.92,250906.93,202501.33,0.00,2506853,36,7,0,0,192294,462216,129506,43,1,79894,42317,188095,11660,77114,3196390,601,36,3,4,219704,748172,348461,107,15,44959,39113,44293,55069,297609,12434338,13084046,23017811,14559393,12383396,32347076,15164876,15405753,23015213,13124476,13084046,23017811,14559393,13093272,32347076,14980653,15420149,23015213,23017475,336,0,0,0,2517652,15880466,13948958,0,0,126097,3333731,211862,9060790,10282733,23017475,336,0,0,0,2517652,15880466,13948958,0,0,126097,3333731,211862,9060790,10282733,29174882.76,11013843.63,11347782.61,21492290.13,31057879.08,9435889.80,9725259.24,18654002.19
