index,mtx,gflops
0,0086_GD96_b.mtx,0.000000
1,0003_mycielskian2.mtx,0.000007
2,0006_mycielskian3.mtx,0.000069
3,0008_b1_ss.mtx,0.000114
4,0029_bcsstm01.mtx,0.000162
5,0015_Tina_AskCal.mtx,0.000192
6,0039_bcsstm02.mtx,0.000223
7,0011_cage3.mtx,0.000253
8,0021_GD01_b.mtx,0.000263
9,0033_GD95_a.mtx,0.000274
10,0019_Tina_AskCog.mtx,0.000342
11,0055_bcsstm03.mtx,0.000381
12,0050_GD95_b.mtx,0.000355
13,0063_bcsstm04.mtx,0.000453
14,0066_bcsstm22.mtx,0.000486
15,0025_Tina_DisCal.mtx,0.000473
16,0022_mycielskian4.mtx,0.000517
17,0076_bcsstm05.mtx,0.000525
18,0031_GD98_a.mtx,0.000527
19,0027_LFAT5.mtx,0.000559
20,0059_GlossGT.mtx,0.000592
21,0057_football.mtx,0.000601
22,0028_Tina_DisCog.mtx,0.000643
23,0073_GD99_c.mtx,0.000826
24,0038_Ragusa18.mtx,0.000870
25,0032_jgl009.mtx,0.000787
26,0030_cage4.mtx,0.000878
27,0052_Hamrle1.mtx,0.000947
28,0045_LF10.mtx,0.001335
29,0139_odepb400.mtx,0.001314
30,0088_n3c6-b1.mtx,0.001484
31,0146_bcsstm06.mtx,0.001459
32,0155_GD00_a.mtx,0.001443
33,0074_d_ss.mtx,0.001342
34,0044_Ragusa16.mtx,0.001375
35,0062_bcspwr01.mtx,0.001607
36,0162_bcsstm20.mtx,0.001634
37,0156_GD97_c.mtx,0.001462
38,0043_jgl011.mtx,0.001510
39,0047_GD02_a.mtx,0.001522
40,0061_ibm32.mtx,0.001573
41,0087_GD98_b.mtx,0.001759
42,0094_GD96_d.mtx,0.001561
43,0042_rgg010.mtx,0.001718
44,0095_GD02_b.mtx,0.001833
45,0065_GD01_c.mtx,0.001758
46,0098_d_dyn.mtx,0.001976
47,0099_d_dyn1.mtx,0.002113
48,0081_bcspwr02.mtx,0.002274
49,0092_dwt_72.mtx,0.002495
50,0108_cat_ears_2_1.mtx,0.002463
51,0048_Stranke94.mtx,0.002607
52,0203_bcsstm19.mtx,0.002720
53,0091_can_62.mtx,0.002833
54,0212_plskz362.mtx,0.028119
55,0133_west0156.mtx,0.002796
56,0117_pivtol.mtx,0.003092
57,0068_mycielskian5.mtx,0.002895
58,0105_GD99_b.mtx,0.003345
59,0103_GD96_c.mtx,0.003403
60,0127_GD98_c.mtx,0.003385
61,0084_pores_1.mtx,0.003261
62,0236_bcsstm08.mtx,0.003626
63,0237_bcsstm09.mtx,0.003719
64,0080_can_24.mtx,0.003417
65,0070_Trefethen_20b.mtx,0.003561
66,0102_Sandi_authors.mtx,0.003497
67,0176_08blocks.mtx,0.003454
68,0077_karate.mtx,0.003709
69,0082_lap_25.mtx,0.003714
70,0078_Trefethen_20.mtx,0.003817
71,0110_dwt_59.mtx,0.004317
72,0116_west0067.mtx,0.003902
73,0126_GD97_a.mtx,0.004397
74,0144_impcol_c.mtx,0.003797
75,0145_west0132.mtx,0.004115
76,0183_GD01_Acap.mtx,0.004227
77,0184_GD01_a.mtx,0.004606
78,0164_west0167.mtx,0.004195
79,0276_bcsstm11.mtx,0.005037
80,0137_olm100.mtx,0.005152
81,0138_tub100.mtx,0.005395
82,0124_dwt_66.mtx,0.005327
83,0363_CSphd.mtx,0.004621
84,0112_will57.mtx,0.004459
85,0175_impcol_a.mtx,0.005018
86,0096_cage5.mtx,0.004775
87,0149_gre_115.mtx,0.004929
