index,mtx,m,n,nnz,mp16,mp4,mpnz
0,0580_cdde4.mtx,961,961,4681,1471,11225,22917
1,1700_stokes64.mtx,12546,12546,140034,65305,312577,1636122
2,0135_GD06_theory.mtx,101,101,380,343,2414,4070
3,1835_lowThrust_12.mtx,18458,18458,224593,394455,4060168,105756931
4,2038_qc2534.mtx,2534,2534,463360,44033,1627480,84728996
5,1242_soc-sign-bitcoin-otc.mtx,5881,5881,35592,1140791,2157856,2301858
6,1016_rbsa480.mtx,480,480,17088,18422,231593,608880
7,1759_c-45.mtx,13206,13206,174452,167392,3202594,97950686
8,0780_diag.mtx,2559,2559,8184,2370,15804,26588
9,2481_TSOPF_RS_b300_c2.mtx,28338,28338,2943887,220899,2421356,23017811
10,2166_nemeth01.mtx,9506,9506,725054,46655,1690877,56394380
11,1940_inlet.mtx,11730,11730,328323,54185,700739,9651407
12,0582_cdde6.mtx,961,961,4681,1471,11225,22917
13,2439_pkustk05.mtx,37164,37164,2205144,1105423,6201375,153376416
14,0896_adder_dcop_28.mtx,1813,1813,11246,64442,208557,1848518
15,1104_mhd1280b.mtx,1280,1280,22778,700,13300,531046
16,2291_nemeth21.mtx,9506,9506,1173746,74081,3599469,146859992
17,1293_G24.mtx,2000,2000,39980,1250913,2783654,840402
18,1222_poli_large.mtx,15575,15575,33074,10236,29274,78904
19,1203_commanche_dual.mtx,7920,7920,31680,42687,126340,126720
20,2728_CoupCons3D.mtx,416800,416800,22322336,5007740,19175062,1227203968
21,2611_bmw7st_1.mtx,141347,141347,7339667,1649411,16697523,404009259
22,1385_mbeacxc.mtx,496,496,49920,27126,775455,5988684
23,0850_adder_dcop_04.mtx,1813,1813,11107,63010,206507,1845985
24,2473_filter3D.mtx,106437,106437,2707179,33362861,67706888,85957185
25,0909_adder_dcop_55.mtx,1813,1813,11246,64442,208557,1848518
26,0888_adder_dcop_48.mtx,1813,1813,11246,64442,208557,1848518
27,2352_lhr71.mtx,70304,70304,1528092,261241,3602865,33298428
28,2375_venkat50.mtx,62424,62424,1717792,604120,743732,47598848
29,2499_nd3k.mtx,9000,9000,3279690,1506507,36067632,1275971514
30,0964_power.mtx,4941,4941,13188,47558,90805,51054
31,0047_GD02_a.mtx,23,23,87,8,154,510
32,1018_add20.mtx,2395,2395,17319,46626,314749,531981
33,1250_dynamicSoaringProblem_4.mtx,3191,3191,36516,19801,160407,2520000
34,2115_pfinan512.mtx,74752,74752,596992,663040,4443712,7713792
35,0852_init_adder1.mtx,1813,1813,11156,64272,206947,1839197
36,2283_bcsstk36.mtx,23052,23052,1143140,148991,2083109,60130948
37,1894_bcsstk16.mtx,4884,4884,290378,44366,842093,18728606
38,1261_t2dal_bci.mtx,4257,4257,37465,11559,71195,332137
39,2019_ted_A_unscaled.mtx,10605,10605,424587,32871,790356,18015573
40,1837_man_5976.mtx,5976,5976,225046,36514,357287,9194690
41,2660_fcondp2.mtx,201822,201822,11294316,1676392,21835742,650331072
42,0630_jazz.mtx,198,198,5484,2197,78995,211908
