index,mtx,m,n,nnz,mp16,mp4,mpnz
0,0190_zed.mtx,116,142,666,1792,42752,681984
1,0135_GD06_theory.mtx,101,101,380,3136,57856,389120
2,0580_cdde4.mtx,961,961,4681,19136,419584,4793344
3,1016_rbsa480.mtx,480,480,17088,49344,1365760,17498112
4,1396_aa6.mtx,646,7292,51728,328576,4291584,52969472
5,0469_mk12-b1.mtx,1485,66,2970,16192,280832,3041280
6,0582_cdde6.mtx,961,961,4681,19136,419584,4793344
7,0125_n2c6-b10.mtx,30,306,330,1920,40192,337920
8,2038_qc2534.mtx,2534,2534,463360,169536,8176640,474480640
9,0780_diag.mtx,2559,2559,8184,46848,813056,8380416
10,1835_lowThrust_12.mtx,18458,18458,224593,1009728,15444992,229983232
11,1700_stokes64.mtx,12546,12546,140034,498240,7964928,143394816
12,1242_soc-sign-bitcoin-otc.mtx,5881,5881,35592,1305536,7896320,36446208
13,0896_adder_dcop_28.mtx,1813,1813,11246,239872,1589504,11515904
14,1759_c-45.mtx,13206,13206,174452,358400,7375872,178638848
15,1104_mhd1280b.mtx,1280,1280,22778,15104,483328,23324672
16,1591_Franz9.mtx,19588,4164,97508,586368,10591488,99848192
17,1940_inlet.mtx,11730,11730,328323,424960,11511296,336202752
18,2166_nemeth01.mtx,9506,9506,725054,341440,16126720,742455296
19,2481_TSOPF_RS_b300_c2.mtx,28338,28338,2943887,1446784,56141056,3014540288
20,1293_G24.mtx,2000,2000,39980,923072,9496576,40939520
21,2291_nemeth21.mtx,9506,9506,1173746,425024,23634688,1201915904
22,1725_Trec12.mtx,551,2726,151219,243264,9494016,154848256
23,1385_mbeacxc.mtx,496,496,49920,58816,2470400,51118080
24,2439_pkustk05.mtx,37164,37164,2205144,3897024,57272064,2258067456
25,2473_filter3D.mtx,106437,106437,2707179,42118464,338115584,2772151296
26,1222_poli_large.mtx,15575,15575,33074,224896,2604800,33867776
27,0850_adder_dcop_04.mtx,1813,1813,11107,236032,1565184,11373568
28,2499_nd3k.mtx,9000,9000,3279690,1881280,70470144,3358402560
29,0016_lpi_itest6.mtx,11,17,29,128,2304,29696
30,0040_lpi_bgprtr.mtx,20,40,70,320,6400,71680
31,0047_GD02_a.mtx,23,23,87,256,7680,89088
32,0855_TF13.mtx,1121,1302,11185,81856,1492736,11453440
33,0888_adder_dcop_48.mtx,1813,1813,11246,239872,1589504,11515904
34,0909_adder_dcop_55.mtx,1813,1813,11246,239872,1589504,11515904
35,1203_commanche_dual.mtx,7920,7920,31680,429248,4361216,32440320
36,2611_bmw7st_1.mtx,141347,141347,7339667,9005632,194787584,7515819008
37,1864_deltaX.mtx,68600,21961,247424,4786432,43294464,253362176
38,1431_pcb3000.mtx,3960,7732,57479,941312,7302400,58858496
