index,mtx,m,n,nnz,mp16,mp4,mpnz
0,0135_GD06_theory.mtx,101,101,380,49,226,380
1,1016_rbsa480.mtx,480,480,17088,771,5335,17088
2,1242_soc-sign-bitcoin-otc.mtx,5881,5881,35592,20399,30845,35592
3,2038_qc2534.mtx,2534,2534,463360,2649,31940,463360
4,1835_lowThrust_12.mtx,18458,18458,224593,15777,60332,224593
5,1396_aa6.mtx,646,7292,51728,5134,16764,51728
6,1759_c-45.mtx,13206,13206,174452,5600,28812,174452
7,1591_Franz9.mtx,19588,4164,97508,9162,41373,97508
8,0125_n2c6-b10.mtx,30,306,330,30,157,330
9,0582_cdde6.mtx,961,961,4681,299,1639,4681
10,2473_filter3D.mtx,106437,106437,2707179,658101,1320764,2707179
11,2481_TSOPF_RS_b300_c2.mtx,28338,28338,2943887,22606,219301,2943887
12,0780_diag.mtx,2559,2559,8184,732,3176,8184
13,0896_adder_dcop_28.mtx,1813,1813,11246,3748,6209,11246
14,1940_inlet.mtx,11730,11730,328323,6640,44966,328323
15,2166_nemeth01.mtx,9506,9506,725054,5335,62995,725054
16,1104_mhd1280b.mtx,1280,1280,22778,236,1888,22778
17,2499_nd3k.mtx,9000,9000,3279690,29395,275274,3279690
18,1385_mbeacxc.mtx,496,496,49920,919,9650,49920
19,2439_pkustk05.mtx,37164,37164,2205144,60891,223719,2205144
20,1293_G24.mtx,2000,2000,39980,14423,37096,39980
21,1222_poli_large.mtx,15575,15575,33074,3514,10175,33074
22,0909_adder_dcop_55.mtx,1813,1813,11246,3748,6209,11246
23,1203_commanche_dual.mtx,7920,7920,31680,6707,17036,31680
24,0850_adder_dcop_04.mtx,1813,1813,11107,3688,6114,11107
25,0888_adder_dcop_48.mtx,1813,1813,11246,3748,6209,11246
26,2352_lhr71.mtx,70304,70304,1528092,36458,252006,1528092
27,1864_deltaX.mtx,68600,21961,247424,74788,169119,247424
28,1431_pcb3000.mtx,3960,7732,57479,14708,28525,57479
29,0040_lpi_bgprtr.mtx,20,40,70,5,25,70
30,0016_lpi_itest6.mtx,11,17,29,2,9,29
31,0047_GD02_a.mtx,23,23,87,4,30,87
32,2287_dbir2.mtx,18906,45877,1158159,84092,294443,1158159
33,0964_power.mtx,4941,4941,13188,5470,10421,13188
34,0852_init_adder1.mtx,1813,1813,11156,3747,6191,11156
35,2113_GL7d24.mtx,21074,105054,593892,521551,587183,593892
36,1018_add20.mtx,2395,2395,17319,2122,8503,17319
37,1346_Franz6.mtx,7576,3016,45456,3023,11510,45456
38,2375_venkat50.mtx,62424,62424,1717792,74500,107362,1717792
39,2530_barrier2-10.mtx,115625,115625,3897557,598183,1522133,3897557
40,1250_dynamicSoaringProblem_4.mtx,3191,3191,36516,1757,7203,36516
41,2115_pfinan512.mtx,74752,74752,596992,59072,260416,596992
42,2283_bcsstk36.mtx,23052,23052,1143140,15705,106573,1143140
43,1725_Trec12.mtx,551,2726,151219,3801,37086,151219
44,1261_t2dal_bci.mtx,4257,4257,37465,1939,8409,37465
45,2326_va2010.mtx,285762,285762,1402128,886620,1243082,1402128
46,2660_fcondp2.mtx,201822,201822,11294316,150732,1017138,11294316
47,1837_man_5976.mtx,5976,5976,225046,4114,22617,225046
48,0230_relat5.mtx,340,35,1058,42,288,1058
49,0987_blckhole.mtx,2132,2132,14872,1060,4243,14872
50,2251_cont-300.mtx,180895,180895,988195,75475,291944,988195
51,0080_can_24.mtx,24,24,160,4,36,160
52,0454_Trefethen_200b.mtx,199,199,2873,87,524,2873
53,1152_bibd_13_6.mtx,78,1716,25740,470,4809,25740
54,2192_delaunay_n17.mtx,131072,131072,786352,106324,331179,786352
55,1373_ex24.mtx,2283,2283,48737,1101,7045,48737
56,1524_c-31.mtx,5339,5339,78571,3688,13419,78571
57,2360_dblp-2010.mtx,326186,326186,1615400,274463,571828,1615400
58,2019_ted_A_unscaled.mtx,10605,10605,424587,4508,42852,424587
59,2035_nemeth12.mtx,9506,9506,446818,3841,42825,446818
60,0141_ch5-5-b1.mtx,200,25,400,21,134,400
61,0190_zed.mtx,116,142,666,28,167,666
62,1816_ch7-7-b5.mtx,35280,52920,211680,34957,111387,211680
63,2291_nemeth21.mtx,9506,9506,1173746,6641,92323,1173746
64,0552_fs_541_2.mtx,541,541,4285,377,1240,4285
65,0842_lp_25fv47.mtx,821,1876,10705,1041,4039,10705
66,0580_cdde4.mtx,961,961,4681,299,1639,4681
67,2827_indochina-2004.mtx,7414866,7414866,194109311,6107242,25278358,194109311
68,0133_west0156.mtx,156,156,371,53,183,371
69,1991_delaunay_n16.mtx,65536,65536,393150,53615,163425,393150
70,0290_oscil_dcop_25.mtx,430,430,1544,220,671,1544
71,1999_nemeth09.mtx,9506,9506,395506,3717,40583,395506
72,0252_ch7-6-b1.mtx,630,42,1260,90,459,1260
73,0349_dwt_221.mtx,221,221,1629,102,466,1629
74,2693_hugetric-00000.mtx,5824554,5824554,17467046,5512084,9616250,17467046
75,0116_west0067.mtx,67,67,294,18,100,294
76,1894_bcsstk16.mtx,4884,4884,290378,3800,31183,290378
77,2611_bmw7st_1.mtx,141347,141347,7339667,140713,760889,7339667
78,2501_stat96v3.mtx,33841,1113780,3317736,89798,444245,3317736
79,2728_CoupCons3D.mtx,416800,416800,22322336,402872,1395146,22322336
80,0376_mesh3e1.mtx,289,289,1889,117,525,1889
81,1580_rdist1.mtx,4134,4134,94408,1943,11290,94408
82,1251_dynamicSoaringProblem_6.mtx,3431,3431,36741,1843,7731,36741
83,2140_c-70.mtx,68924,68924,658986,87336,208327,658986
84,0874_adder_dcop_17.mtx,1813,1813,11246,3748,6209,11246
85,1829_s2rmt3m1.mtx,5489,5489,219521,2586,21283,219521
86,2394_cfd1.mtx,70656,70656,1828364,101096,465794,1828364
87,1926_cegb2919.mtx,2919,2919,321543,3693,29996,321543
88,1509_cegb3306.mtx,3306,3306,74916,1449,7147,74916
89,0712_D_6.mtx,970,435,6491,1512,4846,6491
90,1598_fe_sphere.mtx,16386,16386,98304,11988,33100,98304
91,1423_mark3jac020sc.mtx,9129,9129,56175,12185,31958,56175
92,0645_fpga_dcop_08.mtx,1220,1220,5888,706,2481,5888
93,1054_G46.mtx,1000,1000,19980,3943,17334,19980
94,0469_mk12-b1.mtx,1485,66,2970,253,1097,2970
95,2695_af_2_k101.mtx,503625,503625,17550675,257725,1680245,17550675
96,0972_steam2.mtx,600,600,13760,228,860,13760
97,0400_p0291.mtx,252,543,2283,125,596,2283
98,2345_EternityII_E.mtx,11077,262144,1503732,219084,841831,1503732
99,2519_s3dkt3m2.mtx,90449,90449,3753461,50602,343587,3753461
100,2758_mycielskian16.mtx,49151,49151,33382480,850067,7116311,33382480
101,1521_aug2d.mtx,29008,29008,76832,7132,27514,76832
102,1915_lhr14.mtx,14270,14270,307858,7384,50820,307858
103,0656_fpga_dcop_49.mtx,1220,1220,5892,706,2483,5892
104,2546_t3dh_e.mtx,79171,79171,4352105,258061,1161027,4352105
105,2118_neos1.mtx,131581,133473,599590,55713,199877,599590
106,2739_asia_osm.mtx,11950757,11950757,25423206,4412650,11603149,25423206
107,1718_bcsstk18.mtx,11948,11948,149090,9989,45237,149090
108,0063_bcsstm04.mtx,132,132,132,9,33,132
109,0686_fpga_dcop_21.mtx,1220,1220,5892,706,2483,5892
110,1552_kineticBatchReactor_7.mtx,7968,7968,84508,7381,26929,84508
111,0414_lund_a.mtx,147,147,2449,42,303,2449
112,2797_Serena.mtx,1391349,1391349,64531701,2501792,10610314,64531701
113,2513_ifiss_mat.mtx,96307,96307,3599932,145533,585609,3599932
114,1815_lowThrust_7.mtx,17378,17378,211561,14884,56822,211561
115,1138_deter6.mtx,4255,12113,24771,19556,23575,24771
116,0740_cavity02.mtx,317,317,7327,167,1109,7327
117,2545_t3dh.mtx,79171,79171,4352105,258061,1161027,4352105
118,1640_mark3jac040.mtx,18289,18289,113435,25068,64878,113435
119,0679_fpga_dcop_16.mtx,1220,1220,5892,706,2483,5892
120,0630_jazz.mtx,198,198,5484,169,1965,5484
121,1673_lp_fit2d.mtx,25,10524,129042,1316,17355,129042
122,1045_g7jac010.mtx,2880,2880,19635,2688,7636,19635
123,1700_stokes64.mtx,12546,12546,140034,7785,31113,140034
124,1910_waveguide3D.mtx,21036,21036,303468,205749,253987,303468
125,1465_fe_4elt2.mtx,11143,11143,65636,8323,22225,65636
126,2365_2cubes_sphere.mtx,101492,101492,1647264,421368,1139017,1647264
127,0312_oscil_dcop_02.mtx,430,430,1544,220,671,1544
128,0690_orsirr_2.mtx,886,886,5970,404,1792,5970
129,0855_TF13.mtx,1121,1302,11185,1279,5831,11185
130,2512_oilpan.mtx,73752,73752,3597188,41236,311406,3597188
131,0847_lpi_cplex1.mtx,3005,5224,10947,1153,4455,10947
132,0884_adder_dcop_39.mtx,1813,1813,11246,3748,6209,11246
133,2771_RM07R.mtx,381689,381689,37464962,1040121,5393353,37464962
134,2057_c-66.mtx,49989,49989,499007,51019,134030,499007
135,1426_rdist2.mtx,3198,3198,56934,1426,7909,56934
136,0767_bcsstk06.mtx,420,420,7860,173,1089,7860
137,1277_G5.mtx,800,800,38352,2500,24992,38352
138,1841_ex35.mtx,19716,19716,228208,8577,60507,228208
139,1429_ex10hs.mtx,2548,2548,57308,1534,11353,57308
140,0444_Erdos981.mtx,485,485,2762,849,2437,2762
141,1103_sstmodel.mtx,3345,3345,22749,1968,9493,22749
142,2705_af_shell5.mtx,504855,504855,17588875,252226,1687832,17588875
143,1060_lpi_gran.mtx,2658,2525,20111,1533,5810,20111
144,2675_rgg_n_2_20_s0.mtx,1048576,1048576,13783240,6634920,13094666,13783240
145,0079_lp_sc50a.mtx,50,78,160,12,55,160
146,2051_rajat18.mtx,94294,94294,485143,65723,192336,485143
147,2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,942520,2808347,3094566
148,1749_mark3jac060sc.mtx,27449,27449,170695,37885,97798,170695
149,0875_adder_dcop_60.mtx,1813,1813,11246,3748,6209,11246
150,0973_n4c6-b14.mtx,920,6300,13800,1681,6615,13800
151,0177_nos4.mtx,100,100,594,19,155,594
152,1450_mk12-b5.mtx,10395,62370,62370,20620,45803,62370
153,1784_skirt(0).mtx,12598,12598,196520,13240,47882,196520
154,1751_f855_mat9.mtx,2456,2511,171214,7659,45717,171214
155,1630_vsp_p0291_seymourl_iiasa.mtx,10498,10498,107736,46881,73758,107736
