index,mtx,gflops
0,2544_pdb1HYS.mtx,27.635
1,2592_consph.mtx,26.245
2,2534_cant.mtx,23.905
3,2663_pwtk.mtx,20.197
4,2449_rma10.mtx,20.613
5,2409_conf5_4-8x8-05.mtx,11.706
6,2621_shipsec1.mtx,20.794
7,2309_mac_econ_fwd500.mtx,7.642
8,2430_mc2depi.mtx,8.727
9,2465_cop20k_A.mtx,-1.0
10,2240_scircuit.mtx,7.884
11,2488_webbase-1M.mtx,10.069
12,2613_pkustk12.mtx,-1.0
13,2657_SiO2.mtx,-1.0
14,2268_case39.mtx,-1.0
15,2633_TSOPF_FS_b300_c2.mtx,-1.0
16,2641_gupta3.mtx,-1.0
17,2291_nemeth21.mtx,33.427
18,1009_lp_ship12l.mtx,-1.000
19,0637_bcspwr07.mtx,0.003
20,1471_thermal.mtx,0.539
21,2201_fe_ocean.mtx,0.956
22,2480_Trec14.mtx,-1.000
23,1657_bloweybl.mtx,5.248
24,0494_str_600.mtx,0.011
25,0153_sphere2.mtx,0.001
26,2027_GT01R.mtx,3.743
27,0309_oscil_dcop_01.mtx,0.001
28,2149_TSOPF_RS_b39_c19.mtx,1.112
29,2687_venturiLevel3.mtx,10.745
30,1504_descriptor_xingo6u.mtx,0.073
31,1396_aa6.mtx,-1.000
32,2397_com-Amazon.mtx,4.563
33,1460_rajat07.mtx,0.061
34,2193_ky2010.mtx,1.181
35,0491_685_bus.mtx,0.005
36,0944_grid2_dual.mtx,0.011
37,2132_blockqp1.mtx,-1.000
38,0035_n3c4-b3.mtx,-1.000
39,2749_nlpkkt80.mtx,-1.000
40,0267_n3c6-b2.mtx,
41,0686_fpga_dcop_21.mtx,0.009
42,2023_loc-Brightkite.mtx,4.949
43,0297_oscil_dcop_13.mtx,0.002
44,1443_viscoplastic1.mtx,0.267
45,0908_adder_dcop_52.mtx,0.303
46,0067_lpi_woodinfe.mtx,
47,0287_oscil_dcop_24.mtx,0.002
48,1562_tuma1.mtx,0.074
49,0824_p2756.mtx,
50,2297_Linux_call_graph.mtx,0.641
51,1768_brainpc2.mtx,6.753
52,1655_conf6_0-4x4-20.mtx,0.741
53,0594_tumorAntiAngiogenesis_6.mtx,0.065
54,0365_tols90.mtx,0.011
55,2203_rel8.mtx,-1.000
56,0879_adder_dcop_61.mtx,0.447
57,2422_net100.mtx,9.643
58,1922_lp_osa_14.mtx,-1.000
59,2529_ASIC_680k.mtx,-1.000
60,0715_minnesota.mtx,0.007
61,2486_rgg_n_2_18_s0.mtx,8.695
62,0068_mycielskian5.mtx,0.000
63,1459_car4.mtx,-1.000
64,2825_mawi_201512020030.mtx,-1.000
65,0666_fpga_dcop_39.mtx,0.031
66,2507_amazon0601.mtx,10.195
67,2151_neos2.mtx,-1.000
68,1454_gen.mtx,
69,1176_tomography.mtx,1.517
70,0763_jagmesh5.mtx,0.039
71,2470_GL7d23.mtx,-1.000
72,1473_flowmeter0.mtx,0.422
73,2089_cage11.mtx,4.483
74,0106_bibd_9_3.mtx,-1.000
75,1317_Trefethen_2000.mtx,0.969
76,2424_bcsstk30.mtx,24.759
77,0698_bcspwr08.mtx,0.043
78,2789_road_usa.mtx,-1.000
79,2184_dc2.mtx,-1.000
80,2038_qc2534.mtx,21.708
81,0198_can_96.mtx,0.008
82,1536_c-40.mtx,6.759
83,2177_copter2.mtx,6.256
84,1352_IG5-12.mtx,-1.000
85,1792_world.mtx,
86,1715_case9.mtx,6.762
87,0900_adder_dcop_22.mtx,2.135
88,1265_GL7d12.mtx,-1.000
89,0792_nnc1374.mtx,0.089
90,1600_ex15.mtx,2.183
91,0578_cdde2.mtx,0.033
92,0238_rdb200l.mtx,0.011
93,1185_deter5.mtx,-1.000
94,0609_cage.mtx,0.102
95,0253_mk10-b1.mtx,-1.000
96,1544_jan99jac040sc.mtx,0.899
97,1362_kneser_8_3_1.mtx,-1.000
98,1829_s2rmt3m1.mtx,6.523
99,2099_ut2010.mtx,5.440
100,0789_mhda416.mtx,0.268
101,1805_mario001.mtx,1.847
102,0104_IG5-6.mtx,
103,0622_GL6_D_7.mtx,-1.000
104,2670_TSOPF_FS_b300_c3.mtx,-1.000
105,1192_c-28.mtx,0.714
106,2401_imagesensor.mtx,8.087
107,1601_sctap1-2b.mtx,-1.000
108,2060_soc-Epinions1.mtx,8.317
109,2109_mri1.mtx,-1.000
110,0187_rel5.mtx,-1.000
111,1047_bcsstm12.mtx,0.417
112,1067_kineticBatchReactor_1.mtx,1.523
113,0447_lnsp_511.mtx,0.032
114,0781_poli.mtx,0.025
115,0984_pde2961.mtx,0.124
116,1288_nasa1824(0).mtx,1.429
117,1019_spaceStation_10.mtx,0.536
118,1061_rw5151.mtx,0.105
119,2304_mycielskian13.mtx,8.123
120,1786_bfly.mtx,1.017
121,2440_H2O.mtx,8.659
122,0082_lap_25.mtx,0.002
123,2750_nd24k.mtx,-1.000
124,0478_ch8-8-b1.mtx,-1.000
125,0772_G32.mtx,0.051
126,0149_gre_115.mtx,0.002
127,1442_sit100.mtx,0.581
128,1527_LFAT5000.mtx,0.505
129,0485_G12.mtx,0.013
130,1163_freeFlyingRobot_6.mtx,0.923
131,0626_n3c6-b3.mtx,-1.000
132,0327_oscil_dcop_33.mtx,0.010
133,0536_nnc666.mtx,0.037
134,0871_adder_dcop_67.mtx,1.907
135,2600_Chevron4.mtx,25.820
136,2280_ks2010.mtx,6.567
137,1673_lp_fit2d.mtx,-1.000
138,0566_bp_800.mtx,0.026
139,0402_Chebyshev1.mtx,0.024
