mtx,m,n,nnz,N,time,gflops
1009_lp_ship12l.mtx,1152,5533,16276,8,0.029930,8.700691
0637_bcspwr07.mtx,1664,1612,5824,8,0.016746,5.564420
1471_thermal.mtx,3456,3456,66528,8,0.036261,29.355466
2201_fe_ocean.mtx,143488,143437,819186,8,0.120126,109.110452
2480_Trec14.mtx,3200,15905,2872265,8,0.401521,114.455313
1657_bloweybl.mtx,30080,30003,120000,8,0.053648,35.788590
0494_str_600.mtx,384,363,3279,8,0.018497,2.836333
0153_sphere2.mtx,128,66,450,8,0.015761,0.456817
2027_GT01R.mtx,8064,7980,430909,8,0.071446,96.499790
0309_oscil_dcop_01.mtx,512,430,1544,8,0.016349,1.511003
2149_TSOPF_RS_b39_c19.mtx,38144,38098,684206,8,0.104302,104.957535
2687_venturiLevel3.mtx,4026880,4026819,16108474,8,2.039445,126.375384
1504_descriptor_xingo6u.mtx,20864,20738,73916,8,0.034260,34.520023
1396_aa6.mtx,768,7292,51728,8,0.044941,18.416196
2397_com-Amazon.mtx,334976,334863,1851744,8,0.380710,77.822688
1460_rajat07.mtx,14848,14842,63913,8,0.034305,29.809556
2193_ky2010.mtx,161792,161672,787778,8,0.122818,102.627055
0491_685_bus.mtx,768,685,3249,8,0.016285,3.192135
0944_grid2_dual.mtx,3200,3136,12224,8,0.016345,11.965966
2132_blockqp1.mtx,60032,60012,640033,8,0.091783,111.573049
0035_n3c4-b3.mtx,128,20,60,8,0.015283,0.062814
2749_nlpkkt80.mtx,1062400,1062400,28704672,8,3.213478,142.921387
0267_n3c6-b2.mtx,512,105,1365,8,0.015642,1.396211
0686_fpga_dcop_21.mtx,1280,1220,5892,8,0.019294,4.886018
2023_loc-Brightkite.mtx,58240,58228,428156,8,0.097277,70.422456
0297_oscil_dcop_13.mtx,512,430,1544,8,0.016300,1.515556
1443_viscoplastic1.mtx,4352,4326,61166,8,0.033987,28.794732
0908_adder_dcop_52.mtx,1920,1813,11246,8,0.039366,4.570891
0067_lpi_woodinfe.mtx,128,89,140,8,0.015754,0.142191
0287_oscil_dcop_24.mtx,512,430,1544,8,0.016329,1.512892
1562_tuma1.mtx,23040,22967,87760,8,0.029549,47.520240
0824_p2756.mtx,768,3511,9692,8,0.034615,4.479869
2297_Linux_call_graph.mtx,324096,324085,1208908,8,0.243423,79.460715
1768_brainpc2.mtx,27648,27607,179395,8,0.076321,37.608636
1655_conf6_0-4x4-20.mtx,3072,3072,119808,8,0.038450,49.855479
0594_tumorAntiAngiogenesis_6.mtx,512,465,4795,8,0.058885,1.302876
0365_tols90.mtx,128,90,1746,8,0.027697,1.008624
2203_rel8.mtx,345728,12347,821839,8,0.154721,84.987748
0879_adder_dcop_61.mtx,1920,1813,11246,8,0.039587,4.545304
2422_net100.mtx,29952,29920,2033200,8,0.252119,129.031112
1922_lp_osa_14.mtx,2432,54797,317097,8,0.098245,51.642040
2529_ASIC_680k.mtx,682880,682862,3871773,8,0.601750,102.947103
0715_minnesota.mtx,2688,2642,6606,8,0.016381,6.452546
2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,8,0.372790,132.817514
0068_mycielskian5.mtx,128,23,142,8,0.016288,0.139486
1459_car4.mtx,16384,33052,63724,8,0.037555,27.148828
0666_fpga_dcop_39.mtx,1280,1220,5892,8,0.019226,4.903421
2507_amazon0601.mtx,403456,403394,3387388,8,0.416775,130.042026
2151_neos2.mtx,132608,134128,685087,8,0.106908,102.531319
1454_gen.mtx,896,2561,63086,8,0.027989,36.063321
1176_tomography.mtx,512,500,28726,8,0.053571,8.579617
0763_jagmesh5.mtx,1280,1180,7750,8,0.016396,7.563042
2470_GL7d23.mtx,105088,349443,2695430,8,0.387340,111.341193
1473_flowmeter0.mtx,9728,9669,67391,8,0.035944,29.998486
2089_cage11.mtx,39168,39082,559722,8,0.088717,100.944844
0106_bibd_9_3.mtx,128,84,252,8,0.015835,0.254619
1317_Trefethen_2000.mtx,2048,2000,41906,8,0.020629,32.502556
2424_bcsstk30.mtx,28928,28924,2043492,8,0.261958,124.813588
0698_bcspwr08.mtx,1664,1624,6050,8,0.016542,5.851596
2789_road_usa.mtx,23947392,23947347,57708624,8,11.053799,83.531280
2184_dc2.mtx,116864,116835,766396,8,0.135990,90.170686
2038_qc2534.mtx,2560,2534,463360,8,0.195087,38.002257
0198_can_96.mtx,128,96,768,8,0.028908,0.425067
1536_c-40.mtx,9984,9941,81501,8,0.066273,19.676413
2177_copter2.mtx,55552,55476,759952,8,0.130161,93.416545
1352_IG5-12.mtx,2304,2875,46260,8,0.045574,16.240788
1792_world.mtx,34560,67147,198883,8,0.088853,35.813545
1715_case9.mtx,14464,14454,147972,8,0.050741,46.659318
0900_adder_dcop_22.mtx,1920,1813,11246,8,0.052912,3.400657
