index,mtx,m,n,nnz,right-n,pixel_gflops
0,1009_lp_ship12l.mtx,1151,5533,16276,8,8.98
1,0637_bcspwr07.mtx,1612,1612,5824,8,3.727
2,1471_thermal.mtx,3456,3456,66528,8,42.578
3,2201_fe_ocean.mtx,143437,143437,819186,8,82.956
4,2480_Trec14.mtx,3159,15905,2872265,8,150.676
5,1657_bloweybl.mtx,30003,30003,120000,8,54.857
6,0494_str_600.mtx,363,363,3279,8,2.018
7,0153_sphere2.mtx,66,66,450,8,0.554
8,2027_GT01R.mtx,7980,7980,430909,8,135.187
9,0309_oscil_dcop_01.mtx,430,430,1544,8,1.647
10,2149_TSOPF_RS_b39_c19.mtx,38098,38098,684206,8,152.046
11,2687_venturiLevel3.mtx,4026819,4026819,16108474,8,74.641
12,1504_descriptor_xingo6u.mtx,20738,20738,73916,8,47.306
13,1396_aa6.mtx,646,7292,51728,8,25.08
14,2397_com-Amazon.mtx,334863,334863,1851744,8,15.319
15,1460_rajat07.mtx,14842,14842,63913,8,34.087
16,2193_ky2010.mtx,161672,161672,787778,8,30.969
17,0491_685_bus.mtx,685,685,3249,8,2.736
18,0944_grid2_dual.mtx,3136,3136,12224,8,7.823
19,2132_blockqp1.mtx,60012,60012,640033,8,62.825
20,0035_n3c4-b3.mtx,15,20,60,8,0.107
21,2749_nlpkkt80.mtx,1062400,1062400,28704672,8,152.888
22,0267_n3c6-b2.mtx,455,105,1365,8,1.985
23,0686_fpga_dcop_21.mtx,1220,1220,5892,8,3.626
24,2023_loc-Brightkite.mtx,58228,58228,428156,8,31.281
25,0297_oscil_dcop_13.mtx,430,430,1544,8,1.453
26,1443_viscoplastic1.mtx,4326,4326,61166,8,30.583
27,0908_adder_dcop_52.mtx,1813,1813,11246,8,5.623
28,0067_lpi_woodinfe.mtx,35,89,140,8,0.16
29,0287_oscil_dcop_24.mtx,430,430,1544,8,1.647
30,1562_tuma1.mtx,22967,22967,87760,8,46.805
31,0824_p2756.mtx,755,3511,9692,8,6.203
32,2297_Linux_call_graph.mtx,324085,324085,1208908,8,33.121
33,1768_brainpc2.mtx,27607,27607,179395,8,55.198
34,1655_conf6_0-4x4-20.mtx,3072,3072,119808,8,76.677
35,0594_tumorAntiAngiogenesis_6.mtx,465,465,4795,8,2.841
36,0365_tols90.mtx,90,90,1746,8,0.963
37,2203_rel8.mtx,345688,12347,821839,8,35.635
38,0879_adder_dcop_61.mtx,1813,1813,11246,8,5.623
39,2422_net100.mtx,29920,29920,2033200,8,132.78
40,1922_lp_osa_14.mtx,2337,54797,317097,8,55.147
41,2529_ASIC_680k.mtx,682862,682862,3871773,8,79.83
42,0715_minnesota.mtx,2642,2642,6606,8,7.046
43,2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,8,48.024
44,0068_mycielskian5.mtx,23,23,142,8,0.207
45,1459_car4.mtx,16384,33052,63724,8,36.414
46,0666_fpga_dcop_39.mtx,1220,1220,5892,8,3.626
47,2507_amazon0601.mtx,403394,403394,3387388,8,31.474
48,2151_neos2.mtx,132568,134128,685087,8,92.113
49,1454_gen.mtx,769,2561,63086,8,28.839
50,1176_tomography.mtx,500,500,28726,8,13.132
51,0763_jagmesh5.mtx,1180,1180,7750,8,4.96
