index,mtx,gflops
0,1009_lp_ship12l.mtx,3.519
1,0637_bcspwr07.mtx,1.301
2,1471_thermal.mtx,14.025
3,2201_fe_ocean.mtx,63.326
4,2480_Trec14.mtx,110.279
5,1657_bloweybl.mtx,21.385
6,0494_str_600.mtx,0.757
7,0153_sphere2.mtx,0.112
8,2027_GT01R.mtx,50.004
9,0309_oscil_dcop_01.mtx,0.368
10,2149_TSOPF_RS_b39_c19.mtx,60.721
11,2687_venturiLevel3.mtx,77.274
12,1504_descriptor_xingo6u.mtx,14.622
13,1396_aa6.mtx,12.393
14,2397_com-Amazon.mtx,67.654
15,1460_rajat07.mtx,12.430
16,2193_ky2010.mtx,59.381
17,0491_685_bus.mtx,0.754
18,0944_grid2_dual.mtx,2.686
19,2132_blockqp1.mtx,58.843
20,0035_n3c4-b3.mtx,0.016
21,2749_nlpkkt80.mtx,114.906
22,0267_n3c6-b2.mtx,0.339
23,0686_fpga_dcop_21.mtx,1.415
24,2023_loc-Brightkite.mtx,46.481
25,0297_oscil_dcop_13.mtx,0.368
26,1443_viscoplastic1.mtx,12.665
27,0908_adder_dcop_52.mtx,2.549
28,0067_lpi_woodinfe.mtx,0.036
29,0287_oscil_dcop_24.mtx,0.368
30,1562_tuma1.mtx,16.125
31,0824_p2756.mtx,2.235
32,2297_Linux_call_graph.mtx,53.554
33,1768_brainpc2.mtx,29.959
34,1655_conf6_0-4x4-20.mtx,23.384
35,0594_tumorAntiAngiogenesis_6.mtx,1.109
36,0365_tols90.mtx,0.427
37,2203_rel8.mtx,57.534
38,0879_adder_dcop_61.mtx,2.505
39,2422_net100.mtx,90.831
40,1922_lp_osa_14.mtx,47.576
41,2529_ASIC_680k.mtx,73.162
42,0715_minnesota.mtx,1.505
43,2486_rgg_n_2_18_s0.mtx,97.468
44,0068_mycielskian5.mtx,0.039
45,1459_car4.mtx,12.945
46,0666_fpga_dcop_39.mtx,1.413
47,2507_amazon0601.mtx,85.280
48,2151_neos2.mtx,57.801
49,1454_gen.mtx,13.603
50,1176_tomography.mtx,6.714
51,0763_jagmesh5.mtx,1.790
52,2470_GL7d23.mtx,87.321
53,1473_flowmeter0.mtx,13.169
54,2089_cage11.mtx,54.658
55,0106_bibd_9_3.mtx,0.066
56,1317_Trefethen_2000.mtx,9.235
