index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
0,1009_lp_ship12l.mtx,1151,5533,16276,0.000,0.007,4.836
1,0637_bcspwr07.mtx,1612,1612,5824,0.000,0.005,2.345
2,1471_thermal.mtx,3456,3456,66528,0.000,0.005,27.446
3,2201_fe_ocean.mtx,143437,143437,819186,0.000,0.070,23.542
4,2480_Trec14.mtx,3159,15905,2872265,0.000,0.093,61.790
5,1657_bloweybl.mtx,30003,30003,120000,0.000,0.008,28.443
6,0494_str_600.mtx,363,363,3279,0.000,0.005,1.311
7,0153_sphere2.mtx,66,66,450,0.000,0.005,0.192
8,2027_GT01R.mtx,7980,7980,430909,0.000,0.010,87.264
9,0309_oscil_dcop_01.mtx,430,430,1544,0.000,0.004,0.695
10,2149_TSOPF_RS_b39_c19.mtx,38098,38098,684206,0.000,0.021,65.063
11,2687_venturiLevel3.mtx,4026819,4026819,16108474,0.000,1.590,20.268
12,1504_descriptor_xingo6u.mtx,20738,20738,73916,0.000,0.009,15.568
13,1396_aa6.mtx,646,7292,51728,0.000,0.008,13.141
14,2397_com-Amazon.mtx,334863,334863,1851744,0.000,1.041,3.557
15,1460_rajat07.mtx,14842,14842,63913,0.000,0.010,12.304
16,2193_ky2010.mtx,161672,161672,787778,0.000,0.249,6.330
17,0491_685_bus.mtx,685,685,3249,0.000,0.005,1.265
18,0944_grid2_dual.mtx,3136,3136,12224,0.000,0.005,4.632
19,2132_blockqp1.mtx,60012,60012,640033,0.000,0.020,63.672
20,0035_n3c4-b3.mtx,15,20,60,0.000,0.003,0.037
21,2749_nlpkkt80.mtx,1062400,1062400,28704672,0.000,0.936,61.305
22,0267_n3c6-b2.mtx,455,105,1365,0.000,0.004,0.632
23,0686_fpga_dcop_21.mtx,1220,1220,5892,0.000,0.006,1.976
24,2023_loc-Brightkite.mtx,58228,58228,428156,0.000,0.132,6.490
25,0297_oscil_dcop_13.mtx,430,430,1544,0.000,0.004,0.691
26,1443_viscoplastic1.mtx,4326,4326,61166,0.000,0.007,18.357
27,0908_adder_dcop_52.mtx,1813,1813,11246,0.000,0.007,3.121
28,0067_lpi_woodinfe.mtx,35,89,140,0.000,0.005,0.060
29,0287_oscil_dcop_24.mtx,430,430,1544,0.000,0.005,0.653
30,1562_tuma1.mtx,22967,22967,87760,0.000,0.010,18.362
31,0824_p2756.mtx,755,3511,9692,0.000,0.006,3.035
32,2297_Linux_call_graph.mtx,324085,324085,1208908,0.000,0.344,7.032
33,1768_brainpc2.mtx,27607,27607,179395,0.000,0.009,38.986
34,1655_conf6_0-4x4-20.mtx,3072,3072,119808,0.000,0.006,41.854
35,0594_tumorAntiAngiogenesis_6.mtx,465,465,4795,0.000,0.006,1.569
36,0365_tols90.mtx,90,90,1746,0.000,0.005,0.662
37,2203_rel8.mtx,345688,12347,821839,0.000,0.202,8.138
38,0879_adder_dcop_61.mtx,1813,1813,11246,0.000,0.007,3.308
39,2422_net100.mtx,29920,29920,2033200,0.000,0.112,36.406
40,1922_lp_osa_14.mtx,2337,54797,317097,0.000,0.025,25.049
41,2529_ASIC_680k.mtx,682862,682862,3871773,0.000,0.306,25.283
42,0715_minnesota.mtx,2642,2642,6606,0.000,0.005,2.637
43,2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,0.000,0.572,10.821
44,0068_mycielskian5.mtx,23,23,142,0.000,0.003,0.081
45,1459_car4.mtx,16384,33052,63724,0.000,0.007,18.500
46,0666_fpga_dcop_39.mtx,1220,1220,5892,0.000,0.006,1.867
47,2507_amazon0601.mtx,403394,403394,3387388,0.000,0.983,6.891
48,2151_neos2.mtx,132568,134128,685087,0.000,0.061,22.508
49,1454_gen.mtx,769,2561,63086,0.000,0.007,17.169
50,1176_tomography.mtx,500,500,28726,0.000,0.007,8.613
51,0763_jagmesh5.mtx,1180,1180,7750,0.000,0.006,2.622
52,2470_GL7d23.mtx,105054,349443,2695430,0.000,1.481,3.639
53,1473_flowmeter0.mtx,9669,9669,67391,0.000,0.007,20.453
54,2089_cage11.mtx,39082,39082,559722,0.000,0.048,23.505
55,0106_bibd_9_3.mtx,36,84,252,0.000,0.005,0.093
56,1317_Trefethen_2000.mtx,2000,2000,41906,0.000,0.005,16.284
57,2424_bcsstk30.mtx,28924,28924,2043492,0.000,0.041,99.114
58,0698_bcspwr08.mtx,1624,1624,6050,0.000,0.005,2.561
59,2184_dc2.mtx,116835,116835,766396,0.000,0.065,23.709
60,2038_qc2534.mtx,2534,2534,463360,0.000,0.009,107.846
61,0198_can_96.mtx,96,96,768,0.000,0.004,0.381
62,1536_c-40.mtx,9941,9941,81501,0.000,0.008,19.428
63,2177_copter2.mtx,55476,55476,759952,0.000,0.080,19.053
64,1352_IG5-12.mtx,2296,2875,46260,0.000,0.007,13.268
65,1792_world.mtx,34506,67147,198883,0.000,0.016,24.285
66,1715_case9.mtx,14454,14454,147972,0.000,0.008,36.759
67,0900_adder_dcop_22.mtx,1813,1813,11246,0.000,0.007,3.284
68,1265_GL7d12.mtx,8899,1019,37519,0.000,0.012,6.392
69,0792_nnc1374.mtx,1374,1374,8606,0.000,0.006,2.992
