mtx,m,n,nnz,other,time,gflops
1009_lp_ship12l.mtx,1136,5533,16276,47.530000,0.011538,2.821286
0637_bcspwr07.mtx,1600,1612,5824,0.769000,0.009601,1.213207
1471_thermal.mtx,3456,3456,66528,0.639000,0.010380,12.818497
2201_fe_ocean.mtx,143424,143437,819186,14.748000,0.054883,29.852085
2480_Trec14.mtx,3152,15905,2872265,51.505000,0.088734,64.738770
1657_bloweybl.mtx,30000,30003,120000,3.451000,0.011573,20.737924
0494_str_600.mtx,352,363,3279,0.627000,0.010449,0.627620
0153_sphere2.mtx,64,66,450,0.475000,0.009738,0.092421
2027_GT01R.mtx,7968,7980,430909,18.647000,0.028057,30.716684
0309_oscil_dcop_01.mtx,416,430,1544,23.301000,0.010345,0.298502
2149_TSOPF_RS_b39_c19.mtx,38096,38098,684206,29.051000,0.029911,45.749457
2687_venturiLevel3.mtx,4026816,4026819,16108474,28147.169000,0.976964,32.976597
1504_descriptor_xingo6u.mtx,20736,20738,73916,36.660000,0.011748,12.583589
1396_aa6.mtx,640,7292,51728,44.306000,0.011493,9.001653
2397_com-Amazon.mtx,334848,334863,1851744,108.618000,0.323337,11.453957
1460_rajat07.mtx,14832,14842,63913,29.493000,0.010965,11.657638
2193_ky2010.mtx,161664,161672,787778,22.244000,0.090814,17.349263
0491_685_bus.mtx,672,685,3249,0.595000,0.010231,0.635129
0944_grid2_dual.mtx,3136,3136,12224,26.758000,0.009021,2.710121
2132_blockqp1.mtx,60000,60012,640033,230.636000,0.047418,26.995360
0035_n3c4-b3.mtx,0,20,60,0.450000,0.000299,0.401338
2749_nlpkkt80.mtx,1062400,1062400,28704672,560.932000,0.790105,72.660398
0267_n3c6-b2.mtx,448,105,1365,25.347000,0.009687,0.281821
0686_fpga_dcop_21.mtx,1216,1220,5892,44.694000,0.010724,1.098844
2023_loc-Brightkite.mtx,58224,58228,428156,51.760000,0.061407,13.944860
0297_oscil_dcop_13.mtx,416,430,1544,51.819000,0.009949,0.310383
1443_viscoplastic1.mtx,4320,4326,61166,1.278000,0.011768,10.395309
0908_adder_dcop_52.mtx,1808,1813,11246,21.760000,0.009727,2.312327
0067_lpi_woodinfe.mtx,32,89,140,0.505000,0.009470,0.029567
0287_oscil_dcop_24.mtx,416,430,1544,21.625000,0.010259,0.301004
1562_tuma1.mtx,22960,22967,87760,25.036000,0.011300,15.532743
0824_p2756.mtx,752,3511,9692,39.766000,0.012016,1.613182
2297_Linux_call_graph.mtx,324080,324085,1208908,63.757000,0.136606,17.699193
1768_brainpc2.mtx,27600,27607,179395,44.436000,0.028200,12.723050
1655_conf6_0-4x4-20.mtx,3072,3072,119808,11.698000,0.010470,22.885960
0594_tumorAntiAngiogenesis_6.mtx,464,465,4795,1.514000,0.012670,0.756906
0365_tols90.mtx,80,90,1746,5.679000,0.011829,0.295207
2203_rel8.mtx,345680,12347,821839,21.505000,0.088503,18.572003
0879_adder_dcop_61.mtx,1808,1813,11246,21.940000,0.009756,2.305453
2422_net100.mtx,29920,29920,2033200,53.458000,0.083074,48.949130
1922_lp_osa_14.mtx,2336,54797,317097,176.875000,0.033505,18.928339
2529_ASIC_680k.mtx,682848,682862,3871773,3634.687000,0.219493,35.279239
0715_minnesota.mtx,2640,2642,6606,0.915000,0.008946,1.476861
2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,66.624000,0.191262,32.359444
0068_mycielskian5.mtx,16,23,142,0.468000,0.008840,0.032127
1459_car4.mtx,16384,33052,63724,21.309000,0.011846,10.758737
0666_fpga_dcop_39.mtx,1216,1220,5892,29.124000,0.010677,1.103681
2507_amazon0601.mtx,403392,403394,3387388,120.970000,0.358699,18.887078
2151_neos2.mtx,132560,134128,685087,12.342000,0.049494,27.683638
1454_gen.mtx,768,2561,63086,1.153000,0.012813,9.847186
1176_tomography.mtx,496,500,28726,2.340000,0.012775,4.497221
0763_jagmesh5.mtx,1168,1180,7750,28.123000,0.009736,1.592030
2470_GL7d23.mtx,105040,349443,2695430,131.889000,0.435383,12.381880
1473_flowmeter0.mtx,9664,9669,67391,1.444000,0.010326,13.052683
2089_cage11.mtx,39072,39082,559722,4.989000,0.040127,27.897525
0106_bibd_9_3.mtx,32,84,252,50.912000,0.010104,0.049881
1317_Trefethen_2000.mtx,2000,2000,41906,1.238000,0.010407,8.053426
2424_bcsstk30.mtx,28912,28924,2043492,4.086000,0.048625,84.051085
0698_bcspwr08.mtx,1616,1624,6050,33.986000,0.009669,1.251422
2184_dc2.mtx,116832,116835,766396,154.943000,0.057005,26.888729
2038_qc2534.mtx,2528,2534,463360,47.829000,0.028786,32.193427
0198_can_96.mtx,96,96,768,46.967000,0.009176,0.167393
1536_c-40.mtx,9936,9941,81501,3.634000,0.020178,8.078204
2177_copter2.mtx,55472,55476,759952,43.484000,0.057027,26.652358
1352_IG5-12.mtx,2288,2875,46260,31.725000,0.010896,8.491189
1792_world.mtx,34496,67147,198883,3.423000,0.028252,14.079216
1715_case9.mtx,14448,14454,147972,44.608000,0.028158,10.510121
0900_adder_dcop_22.mtx,1808,1813,11246,29.649000,0.010314,2.180725
1265_GL7d12.mtx,8896,1019,37519,40.825000,0.012236,6.132560
0792_nnc1374.mtx,1360,1374,8606,23.032000,0.010738,1.602906
1600_ex15.mtx,6864,6867,98671,13.908000,0.010703,18.438008
0578_cdde2.mtx,960,961,4681,2.822000,0.009555,0.979801
0238_rdb200l.mtx,192,200,1120,0.478000,0.010182,0.219996
1185_deter5.mtx,5088,14529,29715,1.069000,0.011251,5.282197
0609_cage.mtx,352,366,5124,43.623000,0.012349,0.829865
0253_mk10-b1.mtx,624,45,1260,26.311000,0.008650,0.291329
1544_jan99jac040sc.mtx,13680,13694,82842,1.639000,0.028361,5.841966
1362_kneser_8_3_1.mtx,15728,15681,47042,1.388000,0.013405,7.018575
1829_s2rmt3m1.mtx,5488,5489,219521,25.022000,0.012085,36.329499
2099_ut2010.mtx,115392,115406,572066,18.415000,0.081179,14.093941
0789_mhda416.mtx,416,416,8562,0.983000,0.012068,1.418959
1805_mario001.mtx,38432,38434,206156,4.097000,0.030350,13.585239
0104_IG5-6.mtx,16,77,251,0.440000,0.010703,0.046903
0622_GL6_D_7.mtx,624,470,5378,29.393000,0.009351,1.150251
2670_TSOPF_FS_b300_c3.mtx,84400,84414,13135930,1125.845000,0.165741,158.511533
1192_c-28.mtx,4592,4598,30590,2.414000,0.010781,5.674798
2401_imagesensor.mtx,118752,118758,1893170,30.446000,0.095329,39.718659
1601_sctap1-2b.mtx,15376,33858,99454,1.861000,0.012839,15.492484
2060_soc-Epinions1.mtx,75888,75888,508837,37.484000,0.067309,15.119434
2109_mri1.mtx,65536,147456,589824,10.372000,0.046627,25.299676
0187_rel5.mtx,336,35,656,0.518000,0.009669,0.135691
1047_bcsstm12.mtx,1472,1473,19659,0.939000,0.010621,3.701911
1067_kineticBatchReactor_1.mtx,2048,2052,20600,26.897000,0.012550,3.282869
0447_lnsp_511.mtx,496,511,2796,42.561000,0.011119,0.502923
0781_poli.mtx,4000,4008,8188,1.372000,0.011867,1.379961
0984_pde2961.mtx,2960,2961,14585,0.603000,0.009760,2.988730
1019_spaceStation_10.mtx,1264,1272,17478,3.024000,0.011022,3.171475
1061_rw5151.mtx,5136,5151,20199,24.731000,0.009919,4.072790
2304_mycielskian13.mtx,6128,6143,1227742,22.150000,0.049234,49.873746
1786_bfly.mtx,49152,49152,196608,15.217000,0.028738,13.682789
2440_H2O.mtx,67024,67024,2216736,31.621000,0.088761,49.948423
0082_lap_25.mtx,16,25,169,2.331000,0.008579,0.039399
2750_nd24k.mtx,72000,72000,28715634,99.872000,0.337726,170.052848
0478_ch8-8-b1.mtx,1568,64,3136,0.978000,0.008845,0.709101
0772_G32.mtx,2000,2000,8000,0.555000,0.008978,1.782134
0149_gre_115.mtx,112,115,421,0.579000,0.009058,0.092957
1442_sit100.mtx,10256,10262,61046,1.603000,0.011082,11.017145
1527_LFAT5000.mtx,19984,19994,79966,1.313000,0.010162,15.738241
0485_G12.mtx,800,800,3200,26.143000,0.009025,0.709141
1163_freeFlyingRobot_6.mtx,3344,3358,27030,1.253000,0.011606,4.657936
0626_n3c6-b3.mtx,1360,455,5460,24.937000,0.010184,1.072270
0327_oscil_dcop_33.mtx,416,430,1544,20.712000,0.010371,0.297753
0536_nnc666.mtx,656,666,4044,0.585000,0.010288,0.786159
0871_adder_dcop_67.mtx,1808,1813,11246,2.489000,0.010064,2.234897
2600_Chevron4.mtx,711440,711450,6376412,195.165000,0.215870,59.076407
2280_ks2010.mtx,238592,238600,1121798,47.339000,0.119759,18.734258
1673_lp_fit2d.mtx,16,10524,129042,20.811000,0.012745,20.249823
0566_bp_800.mtx,816,822,4534,27.258000,0.011955,0.758511
0402_Chebyshev1.mtx,256,261,2319,0.454000,0.015774,0.294028
1251_dynamicSoaringProblem_6.mtx,3424,3431,36741,27.447000,0.011368,6.463934
2818_Flan_1565.mtx,1564784,1564794,117406044,2026.905000,2.062656,113.839675
1296_G27.mtx,2000,2000,39980,1.162000,0.009937,8.046694
2264_Dubcova2.mtx,65024,65025,1030225,10.725000,0.067474,30.536948
0117_pivtol.mtx,96,102,306,0.667000,0.008674,0.070556
2668_delaunay_n21.mtx,2097152,2097152,12582816,4811.240000,0.710998,35.394800
2584_para-5.mtx,155920,155924,5416358,86.137000,0.280015,38.686199
1087_bcspwr10.mtx,5296,5300,21842,1.408000,0.010313,4.235819
0258_gams30am.mtx,352,531,1287,1.024000,0.011867,0.216904
1136_freeFlyingRobot_5.mtx,2864,2878,24582,1.154000,0.011125,4.419236
0535_bp_400.mtx,816,822,4028,47.973000,0.012761,0.631298
0611_netz4504.mtx,1952,1961,5156,0.918000,0.009879,1.043830
1730_vt2010.mtx,32576,32580,155598,3.260000,0.031326,9.934112
0421_dwb512.mtx,512,512,2500,0.927000,0.010691,0.467683
