index,mtx,gflops
0,0086_GD96_b.mtx,0.0
1,0003_mycielskian2.mtx,7e-06
2,0006_mycielskian3.mtx,6.9e-05
3,0008_b1_ss.mtx,0.000114
4,0029_bcsstm01.mtx,0.000168
5,0015_Tina_AskCal.mtx,0.000224
6,0039_bcsstm02.mtx,0.000219
7,0011_cage3.mtx,0.00026
8,0021_GD01_b.mtx,0.000266
9,0033_GD95_a.mtx,0.000272
10,0019_Tina_AskCog.mtx,0.000347
11,0055_bcsstm03.mtx,0.00039
12,0050_GD95_b.mtx,0.000356
13,0063_bcsstm04.mtx,0.000462
14,0066_bcsstm22.mtx,0.000478
15,0025_Tina_DisCal.mtx,0.000474
16,0022_mycielskian4.mtx,0.000512
17,0076_bcsstm05.mtx,0.000523
18,0027_LFAT5.mtx,0.000563
19,0059_GlossGT.mtx,0.000603
20,0057_football.mtx,0.000612
21,0028_Tina_DisCog.mtx,0.000637
22,0073_GD99_c.mtx,0.000842
23,0038_Ragusa18.mtx,0.000826
24,0032_jgl009.mtx,0.000798
25,0030_cage4.mtx,0.00081
26,0045_LF10.mtx,0.001241
27,0139_odepb400.mtx,0.001295
28,0088_n3c6-b1.mtx,0.001374
29,0146_bcsstm06.mtx,0.001421
30,0155_GD00_a.mtx,0.001479
31,0062_bcspwr01.mtx,0.001617
32,0162_bcsstm20.mtx,0.001702
33,0156_GD97_c.mtx,0.001439
34,0043_jgl011.mtx,0.001566
35,0087_GD98_b.mtx,0.001689
36,0094_GD96_d.mtx,0.001623
37,0042_rgg010.mtx,0.001703
38,0031_GD98_a.mtx,0.000549
39,0052_Hamrle1.mtx,0.000993
40,0074_d_ss.mtx,0.001491
41,0044_Ragusa16.mtx,0.001405
42,0047_GD02_a.mtx,0.00149
43,0061_ibm32.mtx,0.001482
44,0095_GD02_b.mtx,0.001952
45,0065_GD01_c.mtx,0.001896
46,0098_d_dyn.mtx,0.002194
47,0099_d_dyn1.mtx,0.002016
48,0081_bcspwr02.mtx,0.002235
49,0092_dwt_72.mtx,0.002407
50,0108_cat_ears_2_1.mtx,0.002443
51,0048_Stranke94.mtx,0.002627
52,0203_bcsstm19.mtx,0.002839
53,0091_can_62.mtx,0.002880
54,0212_plskz362.mtx,0.028859
55,0133_west0156.mtx,0.002976
56,0117_pivtol.mtx,0.003152
57,0068_mycielskian5.mtx,0.003010
58,0105_GD99_b.mtx,0.003109
59,0103_GD96_c.mtx,0.003561
