index,mtx,pixel_gflops
0,0637_bcspwr07.mtx,0.264230
1,1471_thermal.mtx,7.363795
2,2201_fe_ocean.mtx,6.139208
3,1657_bloweybl.mtx,40.067784
4,0494_str_600.mtx,0.425169
5,0153_sphere2.mtx,0.080260
6,2027_GT01R.mtx,54.449692
7,0309_oscil_dcop_01.mtx,0.108403
8,2149_TSOPF_RS_b39_c19.mtx,13.496536
9,2687_venturiLevel3.mtx,3.787141
10,1504_descriptor_xingo6u.mtx,1.547832
11,1460_rajat07.mtx,0.568133
12,2193_ky2010.mtx,0.595605
13,0491_685_bus.mtx,0.288672
14,0944_grid2_dual.mtx,0.479440
15,2749_nlpkkt80.mtx,14.758787
16,0686_fpga_dcop_21.mtx,0.494942
17,2023_loc-Brightkite.mtx,0.315212
18,0297_oscil_dcop_13.mtx,0.096992
19,1443_viscoplastic1.mtx,4.457785
20,0908_adder_dcop_52.mtx,3.933017
21,0287_oscil_dcop_24.mtx,0.108403
22,1562_tuma1.mtx,2.412936
23,2297_Linux_call_graph.mtx,0.388969
24,1768_brainpc2.mtx,129.470778
25,1655_conf6_0-4x4-20.mtx,16.084379
26,0594_tumorAntiAngiogenesis_6.mtx,1.761331
27,0365_tols90.mtx,0.752792
28,0879_adder_dcop_61.mtx,4.005456
29,2422_net100.mtx,11.071525
30,0715_minnesota.mtx,0.201095
31,2486_rgg_n_2_18_s0.mtx,1.026110
32,0068_mycielskian5.mtx,0.032067
33,0666_fpga_dcop_39.mtx,0.505643
34,2507_amazon0601.mtx,0.518833
35,1176_tomography.mtx,11.217770
36,0763_jagmesh5.mtx,0.766548
37,1473_flowmeter0.mtx,1.303427
38,2089_cage11.mtx,1.870045
39,1317_Trefethen_2000.mtx,4.410050
40,2424_bcsstk30.mtx,83.344421
41,0698_bcspwr08.mtx,0.262288
42,2038_qc2534.mtx,188.496098
43,0198_can_96.mtx,0.211200
44,1536_c-40.mtx,22.389951
45,2177_copter2.mtx,1.579405
46,1715_case9.mtx,77.898915
47,0900_adder_dcop_22.mtx,3.945609
48,0792_nnc1374.mtx,0.789516
49,1600_ex15.mtx,7.255855
50,0578_cdde2.mtx,0.492839
51,0238_rdb200l.mtx,0.147349
52,0609_cage.mtx,0.806022
53,1544_jan99jac040sc.mtx,0.947536
54,1829_s2rmt3m1.mtx,42.307303
55,2099_ut2010.mtx,0.457811
56,0789_mhda416.mtx,4.231124
57,1805_mario001.mtx,1.540969
58,1192_c-28.mtx,1.988303
59,2401_imagesensor.mtx,2.174619
60,2060_soc-Epinions1.mtx,0.247059
61,1047_bcsstm12.mtx,4.021853
62,1067_kineticBatchReactor_1.mtx,3.663327
63,0447_lnsp_511.mtx,0.335379
64,0781_poli.mtx,0.210980
65,0984_pde2961.mtx,0.980313
66,1288_nasa1824(0).mtx,5.814555
67,1019_spaceStation_10.mtx,1.764460
68,1061_rw5151.mtx,1.063933
69,2304_mycielskian13.mtx,28.499927
70,1786_bfly.mtx,2.218426
71,2440_H2O.mtx,3.666677
72,0082_lap_25.mtx,0.042241
73,2750_nd24k.mtx,155.359542
74,0772_G32.mtx,0.615385
75,0149_gre_115.mtx,0.042641
76,1442_sit100.mtx,1.254525
77,1527_LFAT5000.mtx,2.808479
78,0485_G12.mtx,0.290909
79,1163_freeFlyingRobot_6.mtx,3.249757
80,0327_oscil_dcop_33.mtx,0.105738
81,0536_nnc666.mtx,0.428465
82,0871_adder_dcop_67.mtx,3.867192
83,2600_Chevron4.mtx,13.957408
84,2280_ks2010.mtx,0.657276
85,0566_bp_800.mtx,0.155322
86,0402_Chebyshev1.mtx,0.354149
87,1251_dynamicSoaringProblem_6.mtx,10.731280
88,2818_Flan_1565.mtx,52.395314
89,1296_G27.mtx,0.470469
90,2264_Dubcova2.mtx,2.368348
91,0117_pivtol.mtx,0.027403
92,2668_delaunay_n21.mtx,4.120937
93,2584_para-5.mtx,1.588460
94,1087_bcspwr10.mtx,0.095816
95,1136_freeFlyingRobot_5.mtx,2.853696
96,0535_bp_400.mtx,0.150904
97,0611_netz4504.mtx,0.218571
98,1730_vt2010.mtx,0.167378
99,0421_dwb512.mtx,0.269130
100,0029_bcsstm01.mtx,0.002233
101,2551_TSOPF_FS_b300.mtx,699.329616
102,2066_ted_AB_unscaled.mtx,57.310406
103,0504_dwt_512.mtx,0.647484
104,1734_c-49.mtx,4.956284
105,2301_caidaRouterLevel.mtx,0.170627
106,2172_brack2.mtx,3.170315
107,1357_Oregon-1.mtx,1.066576
108,0916_adder_dcop_35.mtx,3.784070
109,2699_af_5_k101.mtx,89.201569
110,0272_dwt_198.mtx,0.237600
111,2517_power197k.mtx,2.262627
112,2324_nemeth22.mtx,366.392543
113,2044_wathen100.mtx,14.111311
114,0740_cavity02.mtx,2.732691
115,1932_EAT_RS.mtx,0.064409
116,0055_bcsstm03.mtx,0.004571
117,0848_cage8.mtx,1.348365
118,0111_ex5.mtx,0.105300
119,1957_mark3jac120sc.mtx,1.631663
120,1749_mark3jac060sc.mtx,0.569188
121,2310_ok2010.mtx,0.469959
122,2014_nv2010.mtx,0.496569
123,1220_cavity08.mtx,7.378278
124,1147_lnsp3937.mtx,1.501772
125,1830_s3rmt3m1.mtx,41.811902
126,1128_spaceShuttleEntry_2.mtx,7.449406
127,1494_EX4(0).mtx,3.154667
128,2660_fcondp2.mtx,91.731585
129,0427_M20PI_n1.mtx,0.102538
130,1962_cond-mat-2005.mtx,0.265253
131,1505_ncvxqp1.mtx,0.706300
132,2076_psmigr_3.mtx,14.402252
133,0146_bcsstm06.mtx,0.016471
134,2453_pkustk07.mtx,25.386770
135,1985_g7jac100sc.mtx,0.781113
136,0345_bcspwr04.mtx,0.181985
137,0853_adder_dcop_01.mtx,3.859805
138,2433_wave.mtx,3.559242
139,2559_engine.mtx,15.085083
