index,mtx,gflops
0,2544_pdb1HYS.mtx,7.849
1,2592_consph.mtx,7.846
2,2534_cant.mtx,7.223
3,2663_pwtk.mtx,8.327
4,2449_rma10.mtx,6.365
5,2409_conf5_4-8x8-05.mtx,4.877
6,2621_shipsec1.mtx,7.983
7,2309_mac_econ_fwd500.mtx,1.044
8,2430_mc2depi.mtx,1.16
9,2465_cop20k_A.mtx,4.804
10,2240_scircuit.mtx,1.201
11,2488_webbase-1M.mtx,3.825
12,0637_bcspwr07.mtx,0.002
13,1471_thermal.mtx,0.195
14,2201_fe_ocean.mtx,0.593
15,1657_bloweybl.mtx,2.610
16,0494_str_600.mtx,0.004
17,0153_sphere2.mtx,0.000
18,2027_GT01R.mtx,2.476
19,0309_oscil_dcop_01.mtx,0.001
20,2149_TSOPF_RS_b39_c19.mtx,0.604
21,2687_venturiLevel3.mtx,3.583
22,1504_descriptor_xingo6u.mtx,0.058
23,2397_com-Amazon.mtx,2.136
24,1460_rajat07.mtx,0.039
25,2193_ky2010.mtx,0.677
26,0491_685_bus.mtx,0.003
27,0944_grid2_dual.mtx,0.007
28,2749_nlpkkt80.mtx,8.065
29,0686_fpga_dcop_21.mtx,0.008
30,2023_loc-Brightkite.mtx,2.598
31,0297_oscil_dcop_13.mtx,0.001
32,1443_viscoplastic1.mtx,0.227
33,0908_adder_dcop_52.mtx,0.284
34,0287_oscil_dcop_24.mtx,0.001
35,1562_tuma1.mtx,0.058
36,2297_Linux_call_graph.mtx,0.465
37,1768_brainpc2.mtx,4.890
38,1655_conf6_0-4x4-20.mtx,0.668
39,0594_tumorAntiAngiogenesis_6.mtx,0.038
40,0365_tols90.mtx,0.006
41,0879_adder_dcop_61.mtx,0.264
42,2422_net100.mtx,4.253
43,0715_minnesota.mtx,0.002
44,2486_rgg_n_2_18_s0.mtx,3.304
45,0068_mycielskian5.mtx,0.000
46,0666_fpga_dcop_39.mtx,0.006
47,2507_amazon0601.mtx,2.815
48,1176_tomography.mtx,0.488
49,0763_jagmesh5.mtx,0.007
50,1473_flowmeter0.mtx,0.072
51,2089_cage11.mtx,0.978
52,1317_Trefethen_2000.mtx,0.136
53,2424_bcsstk30.mtx,6.308
54,0698_bcspwr08.mtx,0.004
55,2789_road_usa.mtx,4.915
56,2038_qc2534.mtx,4.459
57,0198_can_96.mtx,0.001
58,1536_c-40.mtx,2.005
59,2177_copter2.mtx,1.265
60,1715_case9.mtx,4.553
61,0900_adder_dcop_22.mtx,0.264
62,0792_nnc1374.mtx,0.009
63,1600_ex15.mtx,0.238
64,0578_cdde2.mtx,0.004
65,0238_rdb200l.mtx,0.001
66,0609_cage.mtx,0.011
67,1544_jan99jac040sc.mtx,0.113
68,1829_s2rmt3m1.mtx,1.116
69,2099_ut2010.mtx,0.565
70,0789_mhda416.mtx,0.025
71,1805_mario001.mtx,0.167
72,1192_c-28.mtx,0.077
73,2401_imagesensor.mtx,2.767
74,2060_soc-Epinions1.mtx,2.957
75,1047_bcsstm12.mtx,0.043
76,1067_kineticBatchReactor_1.mtx,0.155
77,0447_lnsp_511.mtx,0.003
78,0781_poli.mtx,0.002
79,0984_pde2961.mtx,0.011
80,1288_nasa1824(0).mtx,0.144
81,1019_spaceStation_10.mtx,0.046
82,1061_rw5151.mtx,0.012
83,2304_mycielskian13.mtx,7.801
84,1786_bfly.mtx,0.121
85,2440_H2O.mtx,4.278
86,0082_lap_25.mtx,0.000
87,0772_G32.mtx,0.004
88,0149_gre_115.mtx,0.000
89,1442_sit100.mtx,0.052
90,1527_LFAT5000.mtx,0.049
91,0485_G12.mtx,0.002
92,1163_freeFlyingRobot_6.mtx,0.109
93,0327_oscil_dcop_33.mtx,0.001
94,0536_nnc666.mtx,0.004
95,0871_adder_dcop_67.mtx,0.264
96,2600_Chevron4.mtx,3.819
97,2280_ks2010.mtx,0.779
98,0566_bp_800.mtx,0.003
99,0402_Chebyshev1.mtx,0.002
100,1251_dynamicSoaringProblem_6.mtx,0.402
101,1296_G27.mtx,0.112
102,2264_Dubcova2.mtx,1.760
103,0117_pivtol.mtx,0.000
104,2668_delaunay_n21.mtx,3.962
105,2584_para-5.mtx,6.175
106,1087_bcspwr10.mtx,0.016
