index,mtx,gflops
0,1009_lp_ship12l.mtx,2.24494
1,0637_bcspwr07.mtx,1.22857
2,1471_thermal.mtx,9.88341
3,2201_fe_ocean.mtx,141.137
4,2480_Trec14.mtx,267.769
5,1657_bloweybl.mtx,17.7843
6,0494_str_600.mtx,0.57866
7,0153_sphere2.mtx,0.0959204
8,2027_GT01R.mtx,52.0152
9,0309_oscil_dcop_01.mtx,0.32702
10,2149_TSOPF_RS_b39_c19.mtx,109.918
11,2687_venturiLevel3.mtx,194.107
12,1504_descriptor_xingo6u.mtx,15.6702
13,1396_aa6.mtx,5.55864
14,2397_com-Amazon.mtx,124.199
15,1460_rajat07.mtx,13.3495
16,2193_ky2010.mtx,109.313
17,0491_685_bus.mtx,0.686047
18,0944_grid2_dual.mtx,2.56687
19,2132_blockqp1.mtx,78.4374
20,0035_n3c4-b3.mtx,0.0395469
21,2749_nlpkkt80.mtx,241.568
22,0267_n3c6-b2.mtx,0.292858
23,0686_fpga_dcop_21.mtx,1.25629
24,2023_loc-Brightkite.mtx,69.1795
25,0297_oscil_dcop_13.mtx,0.328526
26,1443_viscoplastic1.mtx,10.4438
27,0908_adder_dcop_52.mtx,1.93162
28,0067_lpi_woodinfe.mtx,0.0300315
29,0287_oscil_dcop_24.mtx,0.326952
30,1562_tuma1.mtx,18.6254
31,0824_p2756.mtx,1.6588
32,2297_Linux_call_graph.mtx,138.468
33,1768_brainpc2.mtx,26.4974
34,0594_tumorAntiAngiogenesis_6.mtx,0.758553
35,0365_tols90.mtx,0.276655
36,2203_rel8.mtx,20.9987
37,0879_adder_dcop_61.mtx,1.93655
38,2422_net100.mtx,208.582
39,1922_lp_osa_14.mtx,30.6661
40,2529_ASIC_680k.mtx,318.214
41,0715_minnesota.mtx,1.40385
42,2486_rgg_n_2_18_s0.mtx,278.56
43,0068_mycielskian5.mtx,0.0942545
44,1459_car4.mtx,13.419
45,0666_fpga_dcop_39.mtx,1.28154
46,2507_amazon0601.mtx,175.89
47,2151_neos2.mtx,118.898
48,1454_gen.mtx,7.11239
49,1176_tomography.mtx,3.73482
50,0763_jagmesh5.mtx,1.6248
51,2470_GL7d23.mtx,153.376
52,1473_flowmeter0.mtx,13.9582
53,2089_cage11.mtx,89.8578
54,0106_bibd_9_3.mtx,0.0527585
55,1317_Trefethen_2000.mtx,6.25461
56,2424_bcsstk30.mtx,260.532
57,0698_bcspwr08.mtx,1.27017
58,2789_road_usa.mtx,148.853
59,2184_dc2.mtx,87.8156
60,0198_can_96.mtx,0.160207
61,1536_c-40.mtx,14.3082
62,2177_copter2.mtx,121.782
