index,mtx,gflops
0,1009_lp_ship12l.mtx,3.255
1,0637_bcspwr07.mtx,1.165
2,1471_thermal.mtx,13.306
3,2201_fe_ocean.mtx,102.398
4,2480_Trec14.mtx,212.76
5,1657_bloweybl.mtx,24.0
6,0494_str_600.mtx,0.656
7,0153_sphere2.mtx,0.09
8,2027_GT01R.mtx,71.818
9,0309_oscil_dcop_01.mtx,0.309
10,2149_TSOPF_RS_b39_c19.mtx,105.262
11,2687_venturiLevel3.mtx,231.777
12,1504_descriptor_xingo6u.mtx,14.783
13,1396_aa6.mtx,10.346
14,2397_com-Amazon.mtx,119.467
15,1460_rajat07.mtx,12.783
16,2193_ky2010.mtx,87.531
17,0491_685_bus.mtx,0.65
18,0944_grid2_dual.mtx,2.445
19,2132_blockqp1.mtx,98.467
20,0035_n3c4-b3.mtx,0.012
21,2749_nlpkkt80.mtx,262.143
22,0267_n3c6-b2.mtx,0.273
23,0686_fpga_dcop_21.mtx,1.178
24,2023_loc-Brightkite.mtx,61.165
25,0297_oscil_dcop_13.mtx,0.309
26,1443_viscoplastic1.mtx,12.233
27,0908_adder_dcop_52.mtx,2.249
28,0067_lpi_woodinfe.mtx,0.028
29,0287_oscil_dcop_24.mtx,0.309
30,1562_tuma1.mtx,15.956
31,0824_p2756.mtx,1.938
32,2297_Linux_call_graph.mtx,115.134
33,1768_brainpc2.mtx,32.617
34,1655_conf6_0-4x4-20.mtx,23.962
35,0594_tumorAntiAngiogenesis_6.mtx,0.959
36,0365_tols90.mtx,0.349
37,2203_rel8.mtx,86.509
38,0879_adder_dcop_61.mtx,2.249
39,2422_net100.mtx,169.433
40,1922_lp_osa_14.mtx,52.849
41,2529_ASIC_680k.mtx,234.653
42,0715_minnesota.mtx,1.321
43,2486_rgg_n_2_18_s0.mtx,213.418
44,0068_mycielskian5.mtx,0.028
45,1459_car4.mtx,3.445
46,2825_mawi_201512020030.mtx,122.734
47,0666_fpga_dcop_39.mtx,1.178
48,2507_amazon0601.mtx,193.565
49,2151_neos2.mtx,85.636
50,1454_gen.mtx,12.617
51,1176_tomography.mtx,5.745
52,0763_jagmesh5.mtx,1.55
53,1473_flowmeter0.mtx,13.478
54,2089_cage11.mtx,79.96
55,0106_bibd_9_3.mtx,0.05
56,1317_Trefethen_2000.mtx,8.381
57,2424_bcsstk30.mtx,194.618
58,0698_bcspwr08.mtx,1.21
59,2789_road_usa.mtx,133.43
60,2184_dc2.mtx,95.799
61,2038_qc2534.mtx,77.227
62,0198_can_96.mtx,0.154
63,1536_c-40.mtx,16.3
64,2177_copter2.mtx,101.327
65,1352_IG5-12.mtx,9.252
66,1792_world.mtx,3.234
67,1715_case9.mtx,29.594
68,0900_adder_dcop_22.mtx,2.249
69,1265_GL7d12.mtx,7.504
70,0792_nnc1374.mtx,1.721
71,1600_ex15.mtx,19.734
72,0578_cdde2.mtx,0.936
73,0238_rdb200l.mtx,0.224
74,1185_deter5.mtx,2.701
75,0609_cage.mtx,1.025
76,0253_mk10-b1.mtx,0.252
77,1544_jan99jac040sc.mtx,16.568
78,1362_kneser_8_3_1.mtx,8.553
79,1829_s2rmt3m1.mtx,39.913
80,2099_ut2010.mtx,67.302
81,0789_mhda416.mtx,1.712
82,1805_mario001.mtx,31.716
83,0104_IG5-6.mtx,0.05
84,0622_GL6_D_7.mtx,1.076
85,2670_TSOPF_FS_b300_c3.mtx,247.848
86,1192_c-28.mtx,6.118
87,2401_imagesensor.mtx,172.106
88,1601_sctap1-2b.mtx,19.891
89,2060_soc-Epinions1.mtx,56.537
90,2109_mri1.mtx,78.643
91,0187_rel5.mtx,0.131
92,1047_bcsstm12.mtx,3.932
93,1067_kineticBatchReactor_1.mtx,4.12
94,0447_lnsp_511.mtx,0.559
95,0781_poli.mtx,1.489
96,0984_pde2961.mtx,2.917
97,1288_nasa1824(0).mtx,7.842
98,1019_spaceStation_10.mtx,3.496
99,1061_rw5151.mtx,4.04
100,2304_mycielskian13.mtx,136.416
101,1786_bfly.mtx,32.768
102,2440_H2O.mtx,184.728
103,0082_lap_25.mtx,0.034
104,2750_nd24k.mtx,265.885
105,0478_ch8-8-b1.mtx,0.627
106,0772_G32.mtx,1.6
107,0149_gre_115.mtx,0.084
108,1442_sit100.mtx,12.209
109,1527_LFAT5000.mtx,15.993
110,0485_G12.mtx,0.64
111,1163_freeFlyingRobot_6.mtx,5.406
112,0626_n3c6-b3.mtx,1.092
113,0327_oscil_dcop_33.mtx,0.309
114,0536_nnc666.mtx,0.809
115,0871_adder_dcop_67.mtx,2.249
116,2600_Chevron4.mtx,277.235
117,2280_ks2010.mtx,112.18
118,0566_bp_800.mtx,0.907
119,0402_Chebyshev1.mtx,0.464
120,1251_dynamicSoaringProblem_6.mtx,7.348
121,2818_Flan_1565.mtx,278.213
122,1296_G27.mtx,7.996
123,2264_Dubcova2.mtx,121.203
124,0117_pivtol.mtx,0.061
125,2668_delaunay_n21.mtx,230.877
126,2584_para-5.mtx,264.213
127,1087_bcspwr10.mtx,4.368
128,0258_gams30am.mtx,0.257
129,1136_freeFlyingRobot_5.mtx,4.916
130,0535_bp_400.mtx,0.806
131,0611_netz4504.mtx,1.031
132,1730_vt2010.mtx,28.291
133,0421_dwb512.mtx,0.5
134,0029_bcsstm01.mtx,0.01
135,1417_model9.mtx,11.191
136,2551_TSOPF_FS_b300.mtx,283.879
137,2066_ted_AB_unscaled.mtx,87.064
138,0504_dwt_512.mtx,0.7
139,1734_c-49.mtx,31.408
140,2301_caidaRouterLevel.mtx,101.511
141,2172_brack2.mtx,97.749
142,1357_Oregon-1.mtx,8.512
143,0916_adder_dcop_35.mtx,2.249
144,0707_n4c5-b9.mtx,1.26
145,1186_TF14.mtx,5.972
146,2699_af_5_k101.mtx,250.724
147,2760_road_central.mtx,121.386
148,0459_wm1.mtx,0.582
149,0272_dwt_198.mtx,0.278
150,0956_lp_ship08l.mtx,2.576
151,2517_power197k.mtx,231.147
152,2324_nemeth22.mtx,159.863
153,2044_wathen100.mtx,72.554
154,0740_cavity02.mtx,1.465
155,1932_EAT_RS.mtx,46.513
156,2459_c8_mat11.mtx,223.906
157,0343_lpi_chemcom.mtx,0.318
158,0055_bcsstm03.mtx,0.022
159,0848_cage8.mtx,2.201
160,0111_ex5.mtx,0.056
161,1957_mark3jac120sc.mtx,52.688
162,1749_mark3jac060sc.mtx,34.139
163,0393_gas11.mtx,0.433
164,2310_ok2010.mtx,110.795
165,2565_LargeRegFile.mtx,214.965
166,2014_nv2010.mtx,52.125
167,1220_cavity08.mtx,6.549
168,1147_lnsp3937.mtx,5.081
169,1830_s3rmt3m1.mtx,39.913
170,1128_spaceShuttleEntry_2.mtx,4.815
171,1494_EX4(0).mtx,14.352
172,2660_fcondp2.mtx,237.775
173,0427_M20PI_n1.mtx,0.509
174,1962_cond-mat-2005.mtx,54.059
175,0496_lp_standgub.mtx,0.668
176,1505_ncvxqp1.mtx,14.793
177,2076_psmigr_3.mtx,77.595
178,0146_bcsstm06.mtx,0.084
179,0524_nemscem.mtx,0.768
180,2453_pkustk07.mtx,210.331
181,1985_g7jac100sc.mtx,59.175
182,0345_bcspwr04.mtx,0.322
183,0853_adder_dcop_01.mtx,2.231
184,2433_wave.mtx,184.231
185,2559_engine.mtx,261.449
186,0599_M40PI_n1.mtx,1.001
187,0980_bibd_17_4b.mtx,2.856
188,2777_kron_g500-logn19.mtx,198.01
189,0237_bcsstm09.mtx,0.18
190,0886_adder_dcop_47.mtx,2.249
191,1947_ckt11752_tr_0.mtx,51.235
192,2539_Delor338K.mtx,247.741
193,2078_soc-sign-Slashdot090216.mtx,60.63
194,1685_raefsky6.mtx,27.569
195,2115_pfinan512.mtx,79.599
196,0911_adder_dcop_31.mtx,2.249
197,2256_G_n_pin_pout.mtx,100.24
198,1464_Oregon-2.mtx,13.092
199,2105_nemeth16.mtx,90.31
200,1883_s3rmq4m1.mtx,51.111
201,2103_crystm03.mtx,89.811
202,1337_beause.mtx,8.91
203,1978_vsp_south31_slptsk.mtx,58.435
204,1395_lock1074.mtx,10.318
205,2543_pkustk10.mtx,261.151
206,2834_uk-2002.mtx,232.176
207,2250_la2010.mtx,98.063
208,0354_lpi_bgdbg1.mtx,0.332
209,2746_ML_Laplace.mtx,263.714
210,1012_LeGresley_2508.mtx,3.345
211,2000_ca-AstroPh.mtx,52.821
212,0643_fpga_dcop_04.mtx,1.177
213,2247_co2010.mtx,97.457
214,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,96.797
215,0835_IG5-10.mtx,2.055
216,2252_kneser_10_4_1.mtx,90.205
217,0154_lpi_ex73a.mtx,0.091
218,1110_G39.mtx,4.711
219,0121_impcol_b.mtx,0.062
220,2788_wb-edu.mtx,186.786
221,0716_cr42.mtx,1.323
222,1465_fe_4elt2.mtx,13.127
223,1901_EX6(0).mtx,49.28
224,0632_lp_grow15.mtx,1.124
225,2129_nd2010.mtx,78.243
226,2558_ship_001.mtx,281.468
227,0735_rdb1250.mtx,1.46
228,0860_adder_dcop_09.mtx,2.248
229,1587_cti.mtx,19.293
230,1713_ccc.mtx,29.491
231,1125_add32.mtx,4.777
232,2094_g7jac140sc.mtx,75.461
233,1683_abtaha2.mtx,24.951
234,0145_west0132.mtx,0.083
235,1306_freeFlyingRobot_10.mtx,8.016
236,0610_dwt_607.mtx,1.026
237,1784_skirt(0).mtx,35.731
238,2803_audikw_1.mtx,275.85
239,1506_xingo3012.mtx,14.877
240,2669_test1.mtx,185.26
241,0394_gre_512.mtx,0.438
242,0452_ck400.mtx,0.572
243,1615_psse0.mtx,20.486
244,1475_powersim.mtx,13.512
245,0285_oscil_dcop_38.mtx,0.309
246,1800_g7jac060.mtx,33.886
247,2241_crplat2.mtx,137.278
248,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,31.325
249,0635_plat362.mtx,1.157
250,1385_mbeacxc.mtx,9.984
251,0437_fs_680_1.mtx,0.529
252,2273_ts-palko.mtx,16.073
253,2015_onera_dual.mtx,59.886
254,0880_adder_dcop_62.mtx,2.249
255,0326_oscil_dcop_32.mtx,0.309
256,2042_OPF_10000.mtx,71.956
257,2230_ne2010.mtx,96.195
258,0523_can_445.mtx,0.762
259,1451_c-35.mtx,12.578
260,1870_a5esindl.mtx,39.231
261,1900_EX5(0).mtx,49.28
262,2398_appu.mtx,109.006
263,2342_web-NotreDame.mtx,80.926
264,0379_west0479.mtx,0.382
265,0806_laser.mtx,1.8
266,1631_co9.mtx,21.93
267,2582_para-8.mtx,264.213
268,2515_parabolic_fem.mtx,222.705
269,2307_amazon0302.mtx,107.381
270,0816_G16.mtx,1.869
271,1539_gen2.mtx,16.371
272,0759_model2.mtx,1.521
273,0168_lnsp_131.mtx,0.107
274,2276_dbic1.mtx,113.878
275,2214_ch7-8-b5.mtx,105.84
276,2238_soc-Slashdot0902.mtx,86.224
277,2344_boyd2.mtx,136.4
278,1567_jendrec1.mtx,17.922
279,0440_tumorAntiAngiogenesis_2.mtx,0.54
280,1578_ex26.mtx,18.807
281,2786_hugebubbles-00000.mtx,122.225
282,2155_ch7-8-b4.mtx,88.2
283,1760_epb2.mtx,31.823
284,0646_fpga_dcop_29.mtx,1.178
285,0537_1138_bus.mtx,0.811
286,2037_tandem_dual.mtx,65.785
287,0862_adder_dcop_11.mtx,2.249
288,0275_dwt_245.mtx,0.292
289,1285_jan99jac020.mtx,7.738
290,0481_str_400.mtx,0.631
291,1993_nemeth03.mtx,65.801
292,1550_bcsstk13.mtx,16.777
293,1400_aa4.mtx,10.424
294,2017_cit-HepPh.mtx,52.697
295,0192_bcsstk22.mtx,0.139
296,0997_c-18.mtx,3.029
297,0298_oscil_dcop_22.mtx,0.309
298,1790_lowThrust_5.mtx,36.067
