index,mtx,gflops
0,2544_pdb1HYS.mtx,4.608
1,2592_consph.mtx,4.772
2,2534_cant.mtx,4.228
3,2663_pwtk.mtx,4.881
4,2449_rma10.mtx,3.771
5,2409_conf5_4-8x8-05.mtx,2.731
6,2621_shipsec1.mtx,4.733
7,2309_mac_econ_fwd500.mtx,0.527
8,2430_mc2depi.mtx,0.585
9,2465_cop20k_A.mtx,2.587
10,2240_scircuit.mtx,0.584
11,2488_webbase-1M.mtx,2.058
12,2291_nemeth21.mtx,3.597
13,0637_bcspwr07.mtx,0.002
14,1471_thermal.mtx,0.147
15,2201_fe_ocean.mtx,0.482
16,1657_bloweybl.mtx,1.698
17,0494_str_600.mtx,0.004
18,0153_sphere2.mtx,0.000
19,2027_GT01R.mtx,1.738
20,0309_oscil_dcop_01.mtx,0.001
21,2149_TSOPF_RS_b39_c19.mtx,0.486
22,2687_venturiLevel3.mtx,2.504
23,1504_descriptor_xingo6u.mtx,0.052
24,2397_com-Amazon.mtx,1.511
25,1460_rajat07.mtx,0.044
26,2193_ky2010.mtx,0.578
27,0491_685_bus.mtx,0.002
28,0944_grid2_dual.mtx,0.007
29,0686_fpga_dcop_21.mtx,0.006
30,2023_loc-Brightkite.mtx,1.576
31,0297_oscil_dcop_13.mtx,0.001
32,1443_viscoplastic1.mtx,0.178
33,0908_adder_dcop_52.mtx,0.232
34,0287_oscil_dcop_24.mtx,0.001
35,1562_tuma1.mtx,0.049
36,2297_Linux_call_graph.mtx,0.396
37,1768_brainpc2.mtx,2.985
38,1655_conf6_0-4x4-20.mtx,0.502
39,0594_tumorAntiAngiogenesis_6.mtx,0.034
40,0365_tols90.mtx,0.004
41,0879_adder_dcop_61.mtx,0.193
42,2422_net100.mtx,2.592
43,0715_minnesota.mtx,0.002
44,2486_rgg_n_2_18_s0.mtx,2.265
45,0068_mycielskian5.mtx,0.000
46,0666_fpga_dcop_39.mtx,0.005
47,2507_amazon0601.mtx,1.763
48,1176_tomography.mtx,0.445
49,0763_jagmesh5.mtx,0.006
50,1473_flowmeter0.mtx,0.061
51,2089_cage11.mtx,0.796
52,1317_Trefethen_2000.mtx,0.114
53,2424_bcsstk30.mtx,3.902
54,0698_bcspwr08.mtx,0.004
55,2789_road_usa.mtx,3.045
56,2038_qc2534.mtx,3.312
57,0198_can_96.mtx,0.001
58,1536_c-40.mtx,1.459
59,2177_copter2.mtx,0.883
60,1715_case9.mtx,1.562
61,0900_adder_dcop_22.mtx,0.231
62,0792_nnc1374.mtx,0.007
63,1600_ex15.mtx,0.187
64,0578_cdde2.mtx,0.003
65,0238_rdb200l.mtx,0.001
66,0609_cage.mtx,0.007
67,1544_jan99jac040sc.mtx,0.080
68,1829_s2rmt3m1.mtx,0.643
69,2099_ut2010.mtx,0.438
70,0789_mhda416.mtx,0.026
71,1805_mario001.mtx,0.129
72,1192_c-28.mtx,0.069
73,2401_imagesensor.mtx,1.822
74,2060_soc-Epinions1.mtx,1.917
75,1047_bcsstm12.mtx,0.039
76,1067_kineticBatchReactor_1.mtx,0.140
77,0447_lnsp_511.mtx,0.003
78,0781_poli.mtx,0.002
79,0984_pde2961.mtx,0.010
80,1288_nasa1824(0).mtx,0.028
81,1019_spaceStation_10.mtx,0.045
82,1061_rw5151.mtx,0.009
83,2304_mycielskian13.mtx,4.320
84,1786_bfly.mtx,0.085
85,2440_H2O.mtx,2.395
86,0082_lap_25.mtx,0.000
87,0772_G32.mtx,0.004
88,0149_gre_115.mtx,0.000
89,1442_sit100.mtx,0.050
90,1527_LFAT5000.mtx,0.044
91,0485_G12.mtx,0.002
92,1163_freeFlyingRobot_6.mtx,0.098
93,0327_oscil_dcop_33.mtx,0.001
94,0536_nnc666.mtx,0.004
95,0871_adder_dcop_67.mtx,0.247
96,2600_Chevron4.mtx,2.658
97,2280_ks2010.mtx,0.632
98,0566_bp_800.mtx,0.003
99,0402_Chebyshev1.mtx,0.002
100,1251_dynamicSoaringProblem_6.mtx,0.333
101,1296_G27.mtx,0.102
102,2264_Dubcova2.mtx,1.417
103,0117_pivtol.mtx,0.000
104,2668_delaunay_n21.mtx,2.888
105,2584_para-5.mtx,3.607
106,1087_bcspwr10.mtx,0.015
107,1136_freeFlyingRobot_5.mtx,0.087
108,0535_bp_400.mtx,0.002
