index,mtx,gflops
0,2544_pdb1HYS.mtx,106.948
1,2592_consph.mtx,104.53
2,2534_cant.mtx,106.864
3,2663_pwtk.mtx,112.139
4,2449_rma10.mtx,90.438
5,2409_conf5_4-8x8-05.mtx,78.643
6,2621_shipsec1.mtx,107.771
7,2309_mac_econ_fwd500.mtx,63.669
8,2430_mc2depi.mtx,68.579
9,2465_cop20k_A.mtx,29.992
10,2240_scircuit.mtx,49.493
11,2488_webbase-1M.mtx,8.379
12,2784_af_shell10.mtx,119.54
13,2613_pkustk12.mtx,82.327
14,2657_SiO2.mtx,107.462
15,2268_case39.mtx,59.552
16,2633_TSOPF_FS_b300_c2.mtx,114.983
17,2641_gupta3.mtx,89.864
18,2184_dc2.mtx,0.249
19,1009_lp_ship12l.mtx,3.255
20,0637_bcspwr07.mtx,1.035
21,1471_thermal.mtx,11.827
22,2201_fe_ocean.mtx,38.550
23,2480_Trec14.mtx,104.446
24,1657_bloweybl.mtx,0.445
25,0494_str_600.mtx,0.874
26,0153_sphere2.mtx,0.103
27,2027_GT01R.mtx,34.473
28,0309_oscil_dcop_01.mtx,0.309
29,2149_TSOPF_RS_b39_c19.mtx,42.105
30,2687_venturiLevel3.mtx,60.930
31,1504_descriptor_xingo6u.mtx,11.827
32,1396_aa6.mtx,10.346
33,2397_com-Amazon.mtx,26.219
34,1460_rajat07.mtx,11.362
35,2193_ky2010.mtx,42.015
36,0491_685_bus.mtx,0.866
37,0944_grid2_dual.mtx,2.445
38,2132_blockqp1.mtx,39.387
39,0035_n3c4-b3.mtx,0.019
40,2749_nlpkkt80.mtx,113.401
41,0267_n3c6-b2.mtx,0.437
42,0686_fpga_dcop_21.mtx,0.857
43,2023_loc-Brightkite.mtx,26.348
44,0297_oscil_dcop_13.mtx,0.309
45,1443_viscoplastic1.mtx,10.874
46,0908_adder_dcop_52.mtx,0.273
47,0067_lpi_woodinfe.mtx,0.045
48,0287_oscil_dcop_24.mtx,0.309
49,1562_tuma1.mtx,20.059
50,0824_p2756.mtx,0.738
51,2297_Linux_call_graph.mtx,21.256
52,1768_brainpc2.mtx,0.358
53,1655_conf6_0-4x4-20.mtx,21.299
54,0594_tumorAntiAngiogenesis_6.mtx,0.451
55,0365_tols90.mtx,0.349
56,2203_rel8.mtx,42.417
57,0879_adder_dcop_61.mtx,0.273
58,2422_net100.mtx,81.328
59,1922_lp_osa_14.mtx,3.933
60,2529_ASIC_680k.mtx,72.880
61,0715_minnesota.mtx,1.321
62,2486_rgg_n_2_18_s0.mtx,83.920
63,0068_mycielskian5.mtx,0.045
64,1459_car4.mtx,10.196
65,2825_mawi_201512020030.mtx,0.052
66,0666_fpga_dcop_39.mtx,1.178
67,2507_amazon0601.mtx,80.893
68,2151_neos2.mtx,42.159
69,1454_gen.mtx,6.309
70,1176_tomography.mtx,5.745
71,0763_jagmesh5.mtx,1.550
72,1473_flowmeter0.mtx,15.404
73,2089_cage11.mtx,33.169
74,0106_bibd_9_3.mtx,0.050
75,1317_Trefethen_2000.mtx,7.450
76,2424_bcsstk30.mtx,77.847
77,0698_bcspwr08.mtx,1.076
78,2789_road_usa.mtx,49.669
79,2038_qc2534.mtx,32.234
80,0198_can_96.mtx,0.176
81,1536_c-40.mtx,2.329
82,2177_copter2.mtx,43.426
83,1352_IG5-12.mtx,8.224
84,1792_world.mtx,26.518
85,1715_case9.mtx,23.676
86,0900_adder_dcop_22.mtx,0.290
87,1265_GL7d12.mtx,8.576
88,0792_nnc1374.mtx,1.721
89,1600_ex15.mtx,22.553
90,0578_cdde2.mtx,1.248
91,0238_rdb200l.mtx,0.224
92,1185_deter5.mtx,5.943
93,0609_cage.mtx,1.025
94,0253_mk10-b1.mtx,0.224
95,1544_jan99jac040sc.mtx,13.255
96,1362_kneser_8_3_1.mtx,9.408
97,1829_s2rmt3m1.mtx,43.904
98,2099_ut2010.mtx,36.612
99,0789_mhda416.mtx,1.712
100,1805_mario001.mtx,25.373
101,0104_IG5-6.mtx,0.050
102,0622_GL6_D_7.mtx,1.076
103,2670_TSOPF_FS_b300_c3.mtx,118.076
104,1192_c-28.mtx,5.438
105,2401_imagesensor.mtx,73.880
106,1601_sctap1-2b.mtx,15.913
107,2060_soc-Epinions1.mtx,30.153
108,2109_mri1.mtx,33.704
109,0187_rel5.mtx,0.131
110,1047_bcsstm12.mtx,5.242
111,1067_kineticBatchReactor_1.mtx,4.120
112,0447_lnsp_511.mtx,0.746
113,0781_poli.mtx,1.456
114,0984_pde2961.mtx,3.889
115,1288_nasa1824(0).mtx,6.970
116,1019_spaceStation_10.mtx,3.107
117,1061_rw5151.mtx,5.386
118,2304_mycielskian13.mtx,51.694
119,1786_bfly.mtx,24.198
120,2440_H2O.mtx,80.609
121,0082_lap_25.mtx,0.054
122,2750_nd24k.mtx,126.570
123,0478_ch8-8-b1.mtx,0.627
124,0772_G32.mtx,1.600
125,0149_gre_115.mtx,0.135
126,1442_sit100.mtx,10.853
127,1527_LFAT5000.mtx,14.216
128,0485_G12.mtx,0.640
129,1163_freeFlyingRobot_6.mtx,3.932
130,0626_n3c6-b3.mtx,1.456
131,0327_oscil_dcop_33.mtx,0.309
132,0536_nnc666.mtx,0.809
133,0871_adder_dcop_67.mtx,0.273
134,2600_Chevron4.mtx,93.599
135,2280_ks2010.mtx,51.282
136,0566_bp_800.mtx,0.907
137,0402_Chebyshev1.mtx,0.247
138,1251_dynamicSoaringProblem_6.mtx,1.251
139,2818_Flan_1565.mtx,114.333
140,1296_G27.mtx,7.108
141,2264_Dubcova2.mtx,65.934
142,0117_pivtol.mtx,0.061
143,2668_delaunay_n21.mtx,82.850
144,2584_para-5.mtx,99.611
145,1087_bcspwr10.mtx,3.883
146,0258_gams30am.mtx,0.257
147,1136_freeFlyingRobot_5.mtx,4.916
148,0535_bp_400.mtx,0.806
149,0611_netz4504.mtx,1.375
150,1730_vt2010.mtx,22.632
151,0421_dwb512.mtx,0.500
152,0029_bcsstm01.mtx,0.010
153,1417_model9.mtx,8.139
154,2551_TSOPF_FS_b300.mtx,100.574
155,2066_ted_AB_unscaled.mtx,49.166
156,0504_dwt_512.mtx,0.700
157,1734_c-49.mtx,25.127
158,2301_caidaRouterLevel.mtx,52.676
159,2172_brack2.mtx,43.444
160,1357_Oregon-1.mtx,8.323
161,0916_adder_dcop_35.mtx,0.290
162,0707_n4c5-b9.mtx,1.260
163,1186_TF14.mtx,5.309
164,2699_af_5_k101.mtx,120.520
165,2760_road_central.mtx,27.745
166,0459_wm1.mtx,0.665
167,0272_dwt_198.mtx,0.278
168,0956_lp_ship08l.mtx,2.576
169,2517_power197k.mtx,92.459
170,2324_nemeth22.mtx,70.133
171,2044_wathen100.mtx,53.897
172,0740_cavity02.mtx,1.675
173,1932_EAT_RS.mtx,11.840
174,2459_c8_mat11.mtx,96.116
175,0343_lpi_chemcom.mtx,0.318
176,0055_bcsstm03.mtx,0.022
177,0848_cage8.mtx,2.934
178,0111_ex5.mtx,0.089
179,1957_mark3jac120sc.mtx,39.140
180,1749_mark3jac060sc.mtx,27.311
181,0393_gas11.mtx,0.578
182,2310_ok2010.mtx,55.098
183,2565_LargeRegFile.mtx,64.842
184,2014_nv2010.mtx,26.688
185,1220_cavity08.mtx,6.549
186,1147_lnsp3937.mtx,6.775
187,1830_s3rmt3m1.mtx,50.176
188,1128_spaceShuttleEntry_2.mtx,4.815
189,1494_EX4(0).mtx,12.757
190,2660_fcondp2.mtx,110.188
191,0427_M20PI_n1.mtx,0.509
192,1962_cond-mat-2005.mtx,18.741
193,0496_lp_standgub.mtx,0.232
194,1505_ncvxqp1.mtx,16.906
195,2076_psmigr_3.mtx,36.211
196,0146_bcsstm06.mtx,0.075
197,0524_nemscem.mtx,0.559
198,2453_pkustk07.mtx,82.342
199,1985_g7jac100sc.mtx,27.974
200,0345_bcspwr04.mtx,0.322
201,0853_adder_dcop_01.mtx,0.275
202,2433_wave.mtx,82.679
203,2559_engine.mtx,99.075
204,0599_M40PI_n1.mtx,1.001
205,0980_bibd_17_4b.mtx,2.856
206,2777_kron_g500-logn19.mtx,103.566
207,0237_bcsstm09.mtx,0.289
208,0886_adder_dcop_47.mtx,0.290
209,1947_ckt11752_tr_0.mtx,31.344
210,2078_soc-sign-Slashdot090216.mtx,12.126
211,1685_raefsky6.mtx,24.506
212,2115_pfinan512.mtx,35.377
213,0911_adder_dcop_31.mtx,0.290
214,2256_G_n_pin_pout.mtx,51.737
215,1464_Oregon-2.mtx,10.474
216,2105_nemeth16.mtx,39.134
217,1883_s3rmq4m1.mtx,56.222
218,2103_crystm03.mtx,37.361
219,1337_beause.mtx,7.128
220,1978_vsp_south31_slptsk.mtx,25.322
221,1395_lock1074.mtx,9.171
222,2543_pkustk10.mtx,93.167
223,2834_uk-2002.mtx,111.810
224,2250_la2010.mtx,20.116
225,0354_lpi_bgdbg1.mtx,0.332
226,2746_ML_Laplace.mtx,114.481
227,1012_LeGresley_2508.mtx,2.433
228,2000_ca-AstroPh.mtx,31.693
229,0643_fpga_dcop_04.mtx,1.177
230,2247_co2010.mtx,47.252
231,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,49.781
232,0835_IG5-10.mtx,2.055
233,2252_kneser_10_4_1.mtx,45.360
234,0154_lpi_ex73a.mtx,0.146
235,1110_G39.mtx,4.711
236,0121_impcol_b.mtx,0.100
237,2788_wb-edu.mtx,60.007
238,0716_cr42.mtx,1.764
239,1465_fe_4elt2.mtx,15.003
240,1901_EX6(0).mtx,59.136
241,0632_lp_grow15.mtx,0.749
242,2129_nd2010.mtx,30.349
243,2558_ship_001.mtx,96.503
244,0735_rdb1250.mtx,1.460
245,0860_adder_dcop_09.mtx,0.285
246,1587_cti.mtx,15.434
247,1713_ccc.mtx,19.661
248,1125_add32.mtx,4.777
249,2094_g7jac140sc.mtx,34.828
250,1683_abtaha2.mtx,19.960
251,0145_west0132.mtx,0.083
252,1306_freeFlyingRobot_10.mtx,6.413
253,0610_dwt_607.mtx,1.368
254,1784_skirt(0).mtx,28.585
255,2803_audikw_1.mtx,119.579
256,1506_xingo3012.mtx,11.902
257,2669_test1.mtx,102.212
258,0394_gre_512.mtx,0.438
259,0452_ck400.mtx,0.572
260,1615_psse0.mtx,16.389
261,1475_powersim.mtx,12.011
262,0285_oscil_dcop_38.mtx,0.309
263,1800_g7jac060.mtx,29.573
264,2241_crplat2.mtx,54.911
265,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,25.060
