index,mtx,gflops
0,1009_lp_ship12l.mtx,2.61294
1,0637_bcspwr07.mtx,1.42794
2,1471_thermal.mtx,11.4503
3,2201_fe_ocean.mtx,65.0978
4,2480_Trec14.mtx,109.089
5,1657_bloweybl.mtx,16.8167
6,0494_str_600.mtx,0.705319
7,0153_sphere2.mtx,0.117927
8,2027_GT01R.mtx,56.1566
9,0309_oscil_dcop_01.mtx,0.39544
10,2149_TSOPF_RS_b39_c19.mtx,70.256
11,2687_venturiLevel3.mtx,84.3864
12,1504_descriptor_xingo6u.mtx,18.1457
13,1396_aa6.mtx,6.14097
14,2397_com-Amazon.mtx,78.3919
15,1460_rajat07.mtx,15.7138
16,2193_ky2010.mtx,64.2944
17,0491_685_bus.mtx,0.869513
18,0944_grid2_dual.mtx,3.22504
19,2132_blockqp1.mtx,53.5337
20,0035_n3c4-b3.mtx,0.0558568
21,2749_nlpkkt80.mtx,123.999
22,0267_n3c6-b2.mtx,0.379558
23,0686_fpga_dcop_21.mtx,1.5549
24,2023_loc-Brightkite.mtx,60.0102
25,0297_oscil_dcop_13.mtx,0.411409
26,1443_viscoplastic1.mtx,11.7792
27,0908_adder_dcop_52.mtx,2.35548
28,0067_lpi_woodinfe.mtx,0.0400055
29,0287_oscil_dcop_24.mtx,0.41096
30,1562_tuma1.mtx,19.3548
31,0824_p2756.mtx,1.77277
32,2297_Linux_call_graph.mtx,63.8752
33,1768_brainpc2.mtx,25.1115
34,0594_tumorAntiAngiogenesis_6.mtx,0.963997
35,0365_tols90.mtx,0.309227
36,2203_rel8.mtx,13.9869
37,0879_adder_dcop_61.mtx,2.3527
38,2422_net100.mtx,105.482
39,1922_lp_osa_14.mtx,30.2407
40,2529_ASIC_680k.mtx,85.9325
41,0715_minnesota.mtx,1.70734
42,2486_rgg_n_2_18_s0.mtx,101.713
43,0068_mycielskian5.mtx,0.129057
44,1459_car4.mtx,15.4495
45,2825_mawi_201512020030.mtx,67.8235
46,0666_fpga_dcop_39.mtx,1.54219
47,2507_amazon0601.mtx,96.9149
48,2151_neos2.mtx,58.9402
49,1454_gen.mtx,7.72216
