index,mtx,gflops
0,0086_GD96_b.mtx,0.000000
1,0003_mycielskian2.mtx,0.000005
3,0006_mycielskian3.mtx,0.000039
4,0008_b1_ss.mtx,0.000071
5,0029_bcsstm01.mtx,0.000108
6,0015_Tina_AskCal.mtx,0.000144
7,0039_bcsstm02.mtx,0.000136
8,0011_cage3.mtx,0.000160
9,0021_GD01_b.mtx,0.000165
10,0033_GD95_a.mtx,0.000172
11,0019_Tina_AskCog.mtx,0.000228
12,0055_bcsstm03.mtx,0.000247
13,0050_GD95_b.mtx,0.000248
14,0063_bcsstm04.mtx,0.000283
15,0066_bcsstm22.mtx,0.000301
16,0025_Tina_DisCal.mtx,0.000311
17,0022_mycielskian4.mtx,0.000339
18,0076_bcsstm05.mtx,0.000338
19,0031_GD98_a.mtx,0.000353
20,0027_LFAT5.mtx,0.000366
21,0059_GlossGT.mtx,0.000380
22,0057_football.mtx,0.000385
23,0028_Tina_DisCog.mtx,0.000432
24,0073_GD99_c.mtx,0.000502
25,0038_Ragusa18.mtx,0.000540
26,0032_jgl009.mtx,0.000559
27,0030_cage4.mtx,0.000582
28,0052_Hamrle1.mtx,0.000653
29,0045_LF10.mtx,0.000831
30,0139_odepb400.mtx,0.000888
31,0088_n3c6-b1.mtx,0.000928
32,0146_bcsstm06.mtx,0.000919
33,0155_GD00_a.mtx,0.000903
34,0074_d_ss.mtx,0.000878
35,0044_Ragusa16.mtx,0.000972
36,0062_bcspwr01.mtx,0.001032
37,0162_bcsstm20.mtx,0.001199
38,0156_GD97_c.mtx,0.001075
39,0043_jgl011.mtx,0.000561
40,0047_GD02_a.mtx,0.001123
41,0061_ibm32.mtx,0.001079
42,0087_GD98_b.mtx,0.001072
43,0094_GD96_d.mtx,0.001063
44,0042_rgg010.mtx,0.000536
45,0095_GD02_b.mtx,0.001144
46,0065_GD01_c.mtx,0.000931
47,0098_d_dyn.mtx,0.001253
48,0099_d_dyn1.mtx,0.001247
49,0081_bcspwr02.mtx,0.001436
50,0092_dwt_72.mtx,0.001467
51,0108_cat_ears_2_1.mtx,0.001594
52,0048_Stranke94.mtx,0.001767
53,0203_bcsstm19.mtx,0.001820
54,0091_can_62.mtx,0.001692
55,0212_plskz362.mtx,0.001769
56,0133_west0156.mtx,0.001742
57,0117_pivtol.mtx,0.001955
58,0068_mycielskian5.mtx,0.002062
59,0105_GD99_b.mtx,0.002158
60,0103_GD96_c.mtx,0.002085
61,0127_GD98_c.mtx,0.002045
62,0084_pores_1.mtx,0.002355
63,0236_bcsstm08.mtx,0.002469
64,0237_bcsstm09.mtx,0.002344
65,0080_can_24.mtx,0.002537
66,0070_Trefethen_20b.mtx,0.002426
67,0102_Sandi_authors.mtx,0.002466
68,0176_08blocks.mtx,0.002513
69,0077_karate.mtx,0.002489
70,0082_lap_25.mtx,0.002675
71,0078_Trefethen_20.mtx,0.002632
72,0110_dwt_59.mtx,0.002499
73,0116_west0067.mtx,0.002446
74,0126_GD97_a.mtx,0.002526
75,0144_impcol_c.mtx,0.002533
76,0145_west0132.mtx,0.001800
77,0183_GD01_Acap.mtx,0.002988
78,0184_GD01_a.mtx,0.003014
79,0164_west0167.mtx,0.002716
80,0276_bcsstm11.mtx,0.003164
81,0137_olm100.mtx,0.001428
