index,mtx,gflops
0,1009_lp_ship12l.mtx,8.571
1,0637_bcspwr07.mtx,3.920
2,1471_thermal.mtx,34.619
3,2201_fe_ocean.mtx,111.408
4,2480_Trec14.mtx,168.116
5,1657_bloweybl.mtx,53.814
6,0494_str_600.mtx,2.461
7,0153_sphere2.mtx,0.345
8,2027_GT01R.mtx,110.440
9,0309_oscil_dcop_01.mtx,0.891
10,2149_TSOPF_RS_b39_c19.mtx,128.759
11,2687_venturiLevel3.mtx,122.122
12,1504_descriptor_xingo6u.mtx,37.624
13,1396_aa6.mtx,33.863
14,2397_com-Amazon.mtx,120.243
15,1460_rajat07.mtx,37.997
16,2193_ky2010.mtx,110.764
17,0491_685_bus.mtx,2.058
18,0944_grid2_dual.mtx,7.856
19,2132_blockqp1.mtx,112.479
20,0035_n3c4-b3.mtx,0.043
21,2749_nlpkkt80.mtx,166.423
22,0267_n3c6-b2.mtx,0.944
23,0686_fpga_dcop_21.mtx,4.335
24,2023_loc-Brightkite.mtx,95.476
25,0297_oscil_dcop_13.mtx,1.082
26,1443_viscoplastic1.mtx,37.891
27,0908_adder_dcop_52.mtx,7.522
28,0067_lpi_woodinfe.mtx,0.097
29,0287_oscil_dcop_24.mtx,1.034
30,1562_tuma1.mtx,44.668
31,0824_p2756.mtx,6.914
32,2297_Linux_call_graph.mtx,116.331
33,1768_brainpc2.mtx,65.877
34,1655_conf6_0-4x4-20.mtx,63.873
35,0594_tumorAntiAngiogenesis_6.mtx,3.521
36,0365_tols90.mtx,1.292
37,2203_rel8.mtx,106.134
38,0879_adder_dcop_61.mtx,7.527
39,2422_net100.mtx,160.284
40,1922_lp_osa_14.mtx,105.902
41,2529_ASIC_680k.mtx,137.235
42,0715_minnesota.mtx,4.754
43,2486_rgg_n_2_18_s0.mtx,135.675
44,0068_mycielskian5.mtx,0.111
45,1459_car4.mtx,36.558
46,2825_mawi_201512020030.mtx,94.016
47,0666_fpga_dcop_39.mtx,4.174
48,2507_amazon0601.mtx,132.053
49,2151_neos2.mtx,112.528
50,1454_gen.mtx,37.539
51,1176_tomography.mtx,20.733
52,0763_jagmesh5.mtx,5.164
53,2470_GL7d23.mtx,140.185
54,1473_flowmeter0.mtx,35.644
55,2089_cage11.mtx,106.447
56,0106_bibd_9_3.mtx,0.171
57,1317_Trefethen_2000.mtx,25.606
58,2424_bcsstk30.mtx,156.268
59,0698_bcspwr08.mtx,4.125
60,2789_road_usa.mtx,86.018
61,2184_dc2.mtx,117.119
62,2038_qc2534.mtx,116.380
