index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
0,1009_lp_ship12l.mtx,1151,5533,16276,0.0,0.005,6.149
2,0637_bcspwr07.mtx,1612,1612,5824,0.0,0.004,2.981
4,1471_thermal.mtx,3456,3456,66528,0.0,0.004,35.681
7,2201_fe_ocean.mtx,143437,143437,819186,0.0,0.024,68.623
9,2480_Trec14.mtx,3159,15905,2872265,0.0,0.04,142.792
10,1657_bloweybl.mtx,30003,30003,120000,0.0,0.006,43.557
11,0494_str_600.mtx,363,363,3279,0.0,0.004,1.603
12,0153_sphere2.mtx,66,66,450,0.0,0.004,0.225
15,2027_GT01R.mtx,7980,7980,430909,0.0,0.007,130.204
17,0309_oscil_dcop_01.mtx,430,430,1544,0.0,0.004,0.8
18,2149_TSOPF_RS_b39_c19.mtx,38098,38098,684206,0.0,0.008,163.549
19,2687_venturiLevel3.mtx,4026819,4026819,16108474,0.0,0.909,35.428
20,1504_descriptor_xingo6u.mtx,20738,20738,73916,0.0,0.005,28.812
21,1396_aa6.mtx,646,7292,51728,0.0,0.006,18.712
23,2397_com-Amazon.mtx,334863,334863,1851744,0.0,0.569,6.512
24,1460_rajat07.mtx,14842,14842,63913,0.0,0.007,18.144
25,2193_ky2010.mtx,161672,161672,787778,0.0,0.117,13.506
28,0491_685_bus.mtx,685,685,3249,0.0,0.004,1.621
31,0944_grid2_dual.mtx,3136,3136,12224,0.0,0.004,6.518
33,2132_blockqp1.mtx,60012,60012,640033,0.0,0.009,143.844
35,0035_n3c4-b3.mtx,15,20,60,0.0,0.006,0.021
37,2749_nlpkkt80.mtx,1062400,1062400,28704672,0.0,0.549,104.571
38,0267_n3c6-b2.mtx,455,105,1365,0.0,0.004,0.756
40,0686_fpga_dcop_21.mtx,1220,1220,5892,0.0,0.005,2.369
43,2023_loc-Brightkite.mtx,58228,58228,428156,0.0,0.052,16.528
44,0297_oscil_dcop_13.mtx,430,430,1544,0.0,0.004,0.826
50,1443_viscoplastic1.mtx,4326,4326,61166,0.0,0.005,22.5
51,0908_adder_dcop_52.mtx,1813,1813,11246,0.0,0.005,4.176
53,0067_lpi_woodinfe.mtx,35,89,140,0.0,0.004,0.078
56,0287_oscil_dcop_24.mtx,430,430,1544,0.0,0.004,0.8
58,1562_tuma1.mtx,22967,22967,87760,0.0,0.005,35.769
59,0824_p2756.mtx,755,3511,9692,0.0,0.005,3.671
60,2297_Linux_call_graph.mtx,324085,324085,1208908,0.0,0.149,16.26
61,1768_brainpc2.mtx,27607,27607,179395,0.0,0.006,57.563
63,1655_conf6_0-4x4-20.mtx,3072,3072,119808,0.0,0.005,52.295
65,0594_tumorAntiAngiogenesis_6.mtx,465,465,4795,0.0,0.005,1.92
66,0365_tols90.mtx,90,90,1746,0.0,0.005,0.764
67,2203_rel8.mtx,345688,12347,821839,0.0,0.075,21.917
68,0879_adder_dcop_61.mtx,1813,1813,11246,0.0,0.005,4.179
69,2422_net100.mtx,29920,29920,2033200,0.0,0.043,95.478
71,1922_lp_osa_14.mtx,2337,54797,317097,0.0,0.014,44.921
72,2529_ASIC_680k.mtx,682862,682862,3871773,0.0,0.249,31.123
74,0715_minnesota.mtx,2642,2642,6606,0.0,0.004,3.517
75,2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,0.0,0.343,18.063
77,0068_mycielskian5.mtx,23,23,142,0.0,0.003,0.097
