mtx,gflops
1009_lp_ship12l.mtx,3.785116
0637_bcspwr07.mtx,1.678870
1471_thermal.mtx,17.840708
2201_fe_ocean.mtx,85.927099
2480_Trec14.mtx,157.237915
1657_bloweybl.mtx,30.387440
0494_str_600.mtx,0.952091
0153_sphere2.mtx,0.124378
2027_GT01R.mtx,88.984822
0309_oscil_dcop_01.mtx,0.473329
2149_TSOPF_RS_b39_c19.mtx,114.992605
2687_venturiLevel3.mtx,62.056033
1504_descriptor_xingo6u.mtx,19.806002
1396_aa6.mtx,11.784486
2397_com-Amazon.mtx,25.433074
1460_rajat07.mtx,17.520011
2193_ky2010.mtx,47.529518
0491_685_bus.mtx,0.896400
0944_grid2_dual.mtx,3.712680
2132_blockqp1.mtx,64.908777
0035_n3c4-b3.mtx,0.416667
2749_nlpkkt80.mtx,116.262435
0267_n3c6-b2.mtx,0.419871
0686_fpga_dcop_21.mtx,1.445358
2023_loc-Brightkite.mtx,34.808016
0297_oscil_dcop_13.mtx,0.454251
1443_viscoplastic1.mtx,14.140793
0908_adder_dcop_52.mtx,3.289266
0067_lpi_woodinfe.mtx,0.043984
0287_oscil_dcop_24.mtx,0.452919
1562_tuma1.mtx,23.250762
0824_p2756.mtx,2.258681
2297_Linux_call_graph.mtx,45.748647
1768_brainpc2.mtx,32.384692
1655_conf6_0-4x4-20.mtx,32.450704
0594_tumorAntiAngiogenesis_6.mtx,1.215617
0365_tols90.mtx,0.439577
2203_rel8.mtx,50.666687
0879_adder_dcop_61.mtx,3.274898
2422_net100.mtx,120.908658
1922_lp_osa_14.mtx,38.147008
2529_ASIC_680k.mtx,86.313686
0715_minnesota.mtx,2.047737
2486_rgg_n_2_18_s0.mtx,66.494752
0068_mycielskian5.mtx,0.046322
1459_car4.mtx,14.647512
0666_fpga_dcop_39.mtx,1.444118
2507_amazon0601.mtx,41.971948
2151_neos2.mtx,77.336682
1454_gen.mtx,13.587336
1176_tomography.mtx,6.341280
0763_jagmesh5.mtx,2.039205
2470_GL7d23.mtx,25.516690
1473_flowmeter0.mtx,17.764861
2089_cage11.mtx,78.811884
0106_bibd_9_3.mtx,0.070088
1317_Trefethen_2000.mtx,10.462115
2424_bcsstk30.mtx,183.453811
0698_bcspwr08.mtx,1.767197
2184_dc2.mtx,67.631133
2038_qc2534.mtx,58.218369
0198_can_96.mtx,0.245839
1536_c-40.mtx,15.747464
2177_copter2.mtx,73.907318
1352_IG5-12.mtx,10.818522
1792_world.mtx,37.292893
1715_case9.mtx,28.791128
0900_adder_dcop_22.mtx,3.187190
1265_GL7d12.mtx,9.314548
0792_nnc1374.mtx,2.190101
1600_ex15.mtx,27.167126
0578_cdde2.mtx,1.326250
0238_rdb200l.mtx,0.334029
1185_deter5.mtx,7.562031
0609_cage.mtx,1.234699
0253_mk10-b1.mtx,0.403135
1544_jan99jac040sc.mtx,17.137360
1362_kneser_8_3_1.mtx,11.552554
1829_s2rmt3m1.mtx,49.082392
2099_ut2010.mtx,38.219268
0789_mhda416.mtx,2.061642
1805_mario001.mtx,38.301161
0104_IG5-6.mtx,0.064186
0622_GL6_D_7.mtx,1.484405
2670_TSOPF_FS_b300_c3.mtx,195.585748
1192_c-28.mtx,7.488372
2401_imagesensor.mtx,116.099102
1601_sctap1-2b.mtx,23.228775
2060_soc-Epinions1.mtx,38.634600
2109_mri1.mtx,60.563097
0187_rel5.mtx,0.209954
1047_bcsstm12.mtx,4.966902
1067_kineticBatchReactor_1.mtx,4.363482
0447_lnsp_511.mtx,0.761542
0781_poli.mtx,1.873684
0984_pde2961.mtx,3.993155
1019_spaceStation_10.mtx,4.383747
1061_rw5151.mtx,5.753881
2304_mycielskian13.mtx,112.394562
1786_bfly.mtx,39.309807
2440_H2O.mtx,146.803709
0082_lap_25.mtx,0.056146
2750_nd24k.mtx,199.854082
0478_ch8-8-b1.mtx,0.959902
0772_G32.mtx,2.335425
0149_gre_115.mtx,0.136666
1442_sit100.mtx,15.531357
1527_LFAT5000.mtx,23.235798
0485_G12.mtx,0.975015
1163_freeFlyingRobot_6.mtx,6.368992
0626_n3c6-b3.mtx,1.501650
0327_oscil_dcop_33.mtx,0.461515
0536_nnc666.mtx,1.042537
0871_adder_dcop_67.mtx,3.187190
2600_Chevron4.mtx,118.219627
2280_ks2010.mtx,52.152394
1673_lp_fit2d.mtx,28.080078
0566_bp_800.mtx,1.034333
0402_Chebyshev1.mtx,0.484893
1251_dynamicSoaringProblem_6.mtx,8.835157
2818_Flan_1565.mtx,143.226660
1296_G27.mtx,12.305325
2264_Dubcova2.mtx,81.754156
0117_pivtol.mtx,0.102478
2668_delaunay_n21.mtx,67.186109
2584_para-5.mtx,80.907581
1087_bcspwr10.mtx,6.077351
0258_gams30am.mtx,0.322678
1136_freeFlyingRobot_5.mtx,5.920520
0535_bp_400.mtx,0.859215
0611_netz4504.mtx,1.464357
1730_vt2010.mtx,26.188336
0421_dwb512.mtx,0.728544
0029_bcsstm01.mtx,0.018608
1417_model9.mtx,10.281305
2551_TSOPF_FS_b300.mtx,305.171967
2066_ted_AB_unscaled.mtx,100.333621
0504_dwt_512.mtx,0.951114
1734_c-49.mtx,29.652946
2301_caidaRouterLevel.mtx,32.014823
2172_brack2.mtx,73.985064
1357_Oregon-1.mtx,10.214465
0916_adder_dcop_35.mtx,3.271088
0707_n4c5-b9.mtx,1.657023
1186_TF14.mtx,7.210431
2699_af_5_k101.mtx,178.531066
0459_wm1.mtx,0.713165
0272_dwt_198.mtx,0.409653
0956_lp_ship08l.mtx,3.024299
2517_power197k.mtx,70.582700
2324_nemeth22.mtx,253.916098
2044_wathen100.mtx,81.114723
0740_cavity02.mtx,1.733176
1932_EAT_RS.mtx,28.017554
2459_c8_mat11.mtx,174.511638
0343_lpi_chemcom.mtx,0.475834
0055_bcsstm03.mtx,0.044051
0848_cage8.mtx,2.768050
0111_ex5.mtx,0.091611
1957_mark3jac120sc.mtx,45.709042
1749_mark3jac060sc.mtx,31.583865
0393_gas11.mtx,0.632686
2310_ok2010.mtx,41.289348
2565_LargeRegFile.mtx,57.725976
2014_nv2010.mtx,37.442579
1220_cavity08.mtx,7.396273
1147_lnsp3937.mtx,6.778815
2136_Delor64K.mtx,66.650314
1830_s3rmt3m1.mtx,50.868034
1128_spaceShuttleEntry_2.mtx,5.867885
2660_fcondp2.mtx,176.486097
0427_M20PI_n1.mtx,0.787204
1962_cond-mat-2005.mtx,36.161984
0496_lp_standgub.mtx,0.820897
1505_ncvxqp1.mtx,19.528185
2076_psmigr_3.mtx,65.496443
0146_bcsstm06.mtx,0.151871
0524_nemscem.mtx,0.932265
2453_pkustk07.mtx,144.251193
1985_g7jac100sc.mtx,50.921560
0345_bcspwr04.mtx,0.511259
0853_adder_dcop_01.mtx,3.143421
2433_wave.mtx,106.722849
2559_engine.mtx,122.787408
0599_M40PI_n1.mtx,1.551356
0980_bibd_17_4b.mtx,3.071298
2777_kron_g500-logn19.mtx,17.030820
0237_bcsstm09.mtx,0.386855
0886_adder_dcop_47.mtx,3.284942
1947_ckt11752_tr_0.mtx,48.160376
2539_Delor338K.mtx,122.679843
2078_soc-sign-Slashdot090216.mtx,30.627284
1685_raefsky6.mtx,29.026111
2115_pfinan512.mtx,76.317290
0911_adder_dcop_31.mtx,3.191260
2256_G_n_pin_pout.mtx,45.415853
1464_Oregon-2.mtx,12.736648
2105_nemeth16.mtx,139.532208
1883_s3rmq4m1.mtx,60.486498
2103_crystm03.mtx,81.777684
1337_beause.mtx,8.992027
1978_vsp_south31_slptsk.mtx,44.936764
1395_lock1074.mtx,10.908860
2543_pkustk10.mtx,220.031353
2250_la2010.mtx,47.272000
0354_lpi_bgdbg1.mtx,0.472159
2746_ML_Laplace.mtx,184.596737
1012_LeGresley_2508.mtx,4.608624
2000_ca-AstroPh.mtx,29.968984
0643_fpga_dcop_04.mtx,1.450154
2247_co2010.mtx,43.515538
2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,51.631127
0835_IG5-10.mtx,2.578888
2252_kneser_10_4_1.mtx,30.659127
0154_lpi_ex73a.mtx,0.146357
1110_G39.mtx,5.558282
0121_impcol_b.mtx,0.093009
0716_cr42.mtx,1.749273
1465_fe_4elt2.mtx,16.810347
0632_lp_grow15.mtx,1.473325
2129_nd2010.mtx,47.334090
2558_ship_001.mtx,224.245190
0735_rdb1250.mtx,2.119321
0860_adder_dcop_09.mtx,3.247327
1587_cti.mtx,24.766110
1713_ccc.mtx,36.744580
1125_add32.mtx,6.346220
2094_g7jac140sc.mtx,57.574364
1683_abtaha2.mtx,30.508671
0145_west0132.mtx,0.127208
1306_freeFlyingRobot_10.mtx,9.794721
0610_dwt_607.mtx,1.319702
2803_audikw_1.mtx,114.096575
1506_xingo3012.mtx,19.293477
2669_test1.mtx,30.264742
0394_gre_512.mtx,0.633160
0452_ck400.mtx,0.760841
1615_psse0.mtx,25.595202
1475_powersim.mtx,17.097811
0285_oscil_dcop_38.mtx,0.461584
1800_g7jac060.mtx,34.454499
2241_crplat2.mtx,159.731715
1801_vsp_barth5_1Ksep_50in_5Kout.mtx,23.002881
0635_plat362.mtx,1.542933
1385_mbeacxc.mtx,10.624667
0437_fs_680_1.mtx,0.764519
2273_ts-palko.mtx,88.963486
2015_onera_dual.mtx,63.438408
0880_adder_dcop_62.mtx,3.241389
0326_oscil_dcop_32.mtx,0.451396
2042_OPF_10000.mtx,61.278873
2230_ne2010.mtx,49.460342
0523_can_445.mtx,1.065604
1451_c-35.mtx,14.571594
1870_a5esindl.mtx,48.182145
2398_appu.mtx,56.016323
2342_web-NotreDame.mtx,77.319320
0379_west0479.mtx,0.554427
0806_laser.mtx,2.696629
1631_co9.mtx,21.172234
2582_para-8.mtx,84.544728
2515_parabolic_fem.mtx,81.483596
2307_amazon0302.mtx,40.703298
0816_G16.mtx,2.123878
1539_gen2.mtx,18.113521
0759_model2.mtx,1.588266
0168_lnsp_131.mtx,0.165075
2276_dbic1.mtx,44.522120
2214_ch7-8-b5.mtx,94.500000
2238_soc-Slashdot0902.mtx,37.868881
2344_boyd2.mtx,76.502078
1567_jendrec1.mtx,19.950573
0440_tumorAntiAngiogenesis_2.mtx,0.689928
1578_ex26.mtx,20.852201
2155_ch7-8-b4.mtx,90.600924
1760_epb2.mtx,41.392219
0646_fpga_dcop_29.mtx,1.440411
