index,mtx,gflops
0,1009_lp_ship12l.mtx,-1.0
1,0637_bcspwr07.mtx,0.051
2,1471_thermal.mtx,2.573
3,2201_fe_ocean.mtx,8.668
4,2480_Trec14.mtx,-1.0
5,1657_bloweybl.mtx,23.085
6,0494_str_600.mtx,0.077
7,0153_sphere2.mtx,0.007
8,2027_GT01R.mtx,28.058
9,0309_oscil_dcop_01.mtx,0.015
10,2149_TSOPF_RS_b39_c19.mtx,7.794
11,2687_venturiLevel3.mtx,49.682
12,1504_descriptor_xingo6u.mtx,0.824
13,1396_aa6.mtx,-1.0
14,2397_com-Amazon.mtx,21.779
15,1460_rajat07.mtx,0.626
16,2544_pdb1HYS.mtx,81.418
17,2592_consph.mtx,73.986
18,2534_cant.mtx,65.777
19,2663_pwtk.mtx,60.19
20,2449_rma10.mtx,55.456
21,2409_conf5_4-8x8-05.mtx,31.794
22,2621_shipsec1.mtx,60.384
23,2309_mac_econ_fwd500.mtx,14.408
24,2430_mc2depi.mtx,14.345
25,2465_cop20k_A.mtx,-1.0
26,2240_scircuit.mtx,13.049
27,2488_webbase-1M.mtx,25.784
28,2613_pkustk12.mtx,-1.0
29,2657_SiO2.mtx,-1.0
30,2268_case39.mtx,-1.0
31,2633_TSOPF_FS_b300_c2.mtx,-1.0
32,2641_gupta3.mtx,-1.0
33,2291_nemeth21.mtx,88.085
34,2193_ky2010.mtx,5.773
35,0491_685_bus.mtx,0.044
36,0944_grid2_dual.mtx,0.123
37,2132_blockqp1.mtx,-1.0
38,0035_n3c4-b3.mtx,-1.0
39,2749_nlpkkt80.mtx,27.893
40,0267_n3c6-b2.mtx,-1.0
41,0686_fpga_dcop_21.mtx,0.114
42,2023_loc-Brightkite.mtx,21.368
43,0297_oscil_dcop_13.mtx,0.016
44,1443_viscoplastic1.mtx,3.1
45,0908_adder_dcop_52.mtx,3.728
46,0067_lpi_woodinfe.mtx,-1.0
47,0287_oscil_dcop_24.mtx,0.017
48,1562_tuma1.mtx,0.923
49,0824_p2756.mtx,-1.0
50,2297_Linux_call_graph.mtx,7.08
51,1768_brainpc2.mtx,15.252
52,1655_conf6_0-4x4-20.mtx,9.153
53,0594_tumorAntiAngiogenesis_6.mtx,0.642
54,0365_tols90.mtx,0.094
55,2203_rel8.mtx,-1.000
56,0879_adder_dcop_61.mtx,3.896
57,2422_net100.mtx,36.292
58,1922_lp_osa_14.mtx,-1.000
59,2529_ASIC_680k.mtx,-1.000
60,0715_minnesota.mtx,0.046
61,2486_rgg_n_2_18_s0.mtx,44.897
62,0068_mycielskian5.mtx,0.002
63,1459_car4.mtx,-1.000
64,2825_mawi_201512020030.mtx,-1.000
65,0666_fpga_dcop_39.mtx,0.111
66,2507_amazon0601.mtx,33.802
67,2151_neos2.mtx,-1.000
68,1454_gen.mtx,-1.000
69,1176_tomography.mtx,8.059
70,0763_jagmesh5.mtx,0.129
71,2470_GL7d23.mtx,-1.000
72,1473_flowmeter0.mtx,1.190
73,2089_cage11.mtx,12.884
74,0106_bibd_9_3.mtx,-1.000
75,1317_Trefethen_2000.mtx,2.021
76,2424_bcsstk30.mtx,70.767
77,0698_bcspwr08.mtx,0.068
78,2789_road_usa.mtx,-1.000
79,2184_dc2.mtx,-1.000
80,2038_qc2534.mtx,66.781
81,0198_can_96.mtx,0.017
82,1536_c-40.mtx,18.541
83,2177_copter2.mtx,15.193
84,1352_IG5-12.mtx,-1.000
85,1792_world.mtx,-1.000
86,1715_case9.mtx,19.980
87,0900_adder_dcop_22.mtx,3.925
88,1265_GL7d12.mtx,-1.000
89,0792_nnc1374.mtx,0.146
90,1600_ex15.mtx,3.382
91,0578_cdde2.mtx,0.058
92,0238_rdb200l.mtx,0.015
93,1185_deter5.mtx,-1.000
94,0609_cage.mtx,0.172
95,0253_mk10-b1.mtx,-1.000
96,1544_jan99jac040sc.mtx,1.706
97,1362_kneser_8_3_1.mtx,-1.000
98,1829_s2rmt3m1.mtx,14.957
99,2099_ut2010.mtx,9.501
100,0789_mhda416.mtx,0.469
101,1805_mario001.mtx,2.994
102,0104_IG5-6.mtx,-1.000
103,0622_GL6_D_7.mtx,-1.000
104,2670_TSOPF_FS_b300_c3.mtx,-1.000
105,1192_c-28.mtx,1.269
106,2401_imagesensor.mtx,21.845
107,1601_sctap1-2b.mtx,-1.000
108,2060_soc-Epinions1.mtx,22.622
109,2109_mri1.mtx,-1.000
110,0187_rel5.mtx,-1.000
111,1047_bcsstm12.mtx,0.717
112,1067_kineticBatchReactor_1.mtx,2.358
113,0447_lnsp_511.mtx,0.045
114,0781_poli.mtx,0.040
115,0984_pde2961.mtx,0.177
116,1288_nasa1824(0).mtx,2.170
117,1019_spaceStation_10.mtx,0.772
118,1061_rw5151.mtx,0.200
119,2304_mycielskian13.mtx,16.513
120,1786_bfly.mtx,1.906
121,2440_H2O.mtx,24.931
122,0082_lap_25.mtx,0.003
123,2750_nd24k.mtx,-1.000
124,0478_ch8-8-b1.mtx,-1.000
125,0772_G32.mtx,0.077
126,0149_gre_115.mtx,0.004
127,1442_sit100.mtx,0.960
128,1527_LFAT5000.mtx,0.863
129,0485_G12.mtx,0.032
130,1163_freeFlyingRobot_6.mtx,1.470
131,0626_n3c6-b3.mtx,-1.000
132,0327_oscil_dcop_33.mtx,0.016
133,0536_nnc666.mtx,0.073
134,0871_adder_dcop_67.mtx,3.691
135,2600_Chevron4.mtx,62.888
136,2280_ks2010.mtx,13.662
137,1673_lp_fit2d.mtx,-1.000
138,0566_bp_800.mtx,0.059
139,0402_Chebyshev1.mtx,0.041
140,1251_dynamicSoaringProblem_6.mtx,5.874
141,2818_Flan_1565.mtx,-1.000
142,1296_G27.mtx,1.965
143,2264_Dubcova2.mtx,18.760
144,0117_pivtol.mtx,0.002
145,2668_delaunay_n21.mtx,57.697
146,2584_para-5.mtx,33.253
147,1087_bcspwr10.mtx,0.248
148,0258_gams30am.mtx,-1.000
149,1136_freeFlyingRobot_5.mtx,1.331
150,0535_bp_400.mtx,0.044
151,0611_netz4504.mtx,0.039
152,1730_vt2010.mtx,2.518
153,0421_dwb512.mtx,0.032
154,0029_bcsstm01.mtx,0.000
155,1417_model9.mtx,-1.000
156,2551_TSOPF_FS_b300.mtx,-1.000
157,2066_ted_AB_unscaled.mtx,36.723
158,0504_dwt_512.mtx,0.076
159,1734_c-49.mtx,9.132
