index,mtx,gflops
0,0086_GD96_b.mtx,0.0
1,0003_mycielskian2.mtx,4.8e-05
2,0006_mycielskian3.mtx,0.000469
3,0008_b1_ss.mtx,0.00085
4,0029_bcsstm01.mtx,0.001262
5,0015_Tina_AskCal.mtx,0.001659
6,0039_bcsstm02.mtx,0.001676
7,0011_cage3.mtx,0.001894
8,0021_GD01_b.mtx,0.001991
9,0033_GD95_a.mtx,0.00199
10,0019_Tina_AskCog.mtx,0.002575
11,0055_bcsstm03.mtx,0.002956
12,0050_GD95_b.mtx,0.002445
13,0063_bcsstm04.mtx,0.003481
14,0066_bcsstm22.mtx,0.003593
15,0025_Tina_DisCal.mtx,0.003426
16,0022_mycielskian4.mtx,0.003781
17,0076_bcsstm05.mtx,0.003975
18,0031_GD98_a.mtx,0.003588
19,0027_LFAT5.mtx,0.004128
20,0059_GlossGT.mtx,0.00439
21,0057_football.mtx,0.004345
22,0028_Tina_DisCog.mtx,0.00472
23,0073_GD99_c.mtx,0.005997
24,0038_Ragusa18.mtx,0.006058
25,0032_jgl009.mtx,0.005148
26,0030_cage4.mtx,0.005696
27,0052_Hamrle1.mtx,0.007291
28,0045_LF10.mtx,0.009404
29,0139_odepb400.mtx,0.010369
30,0088_n3c6-b1.mtx,0.010898
31,0146_bcsstm06.mtx,0.010811
32,0155_GD00_a.mtx,0.010678
33,0074_d_ss.mtx,0.010236
34,0044_Ragusa16.mtx,0.008172
35,0062_bcspwr01.mtx,0.000815
36,0162_bcsstm20.mtx,0.000859
37,0156_GD97_c.mtx,0.000825
38,0043_jgl011.mtx,0.000983
39,0047_GD02_a.mtx,0.000843
40,0061_ibm32.mtx,0.000817
41,0087_GD98_b.mtx,0.000879
42,0094_GD96_d.mtx,0.000937
43,0042_rgg010.mtx,0.001061
44,0095_GD02_b.mtx,0.001101
45,0065_GD01_c.mtx,0.001097
46,0098_d_dyn.mtx,0.001277
47,0099_d_dyn1.mtx,0.001265
48,0081_bcspwr02.mtx,0.001371
49,0092_dwt_72.mtx,0.001479
50,0108_cat_ears_2_1.mtx,0.001455
51,0048_Stranke94.mtx,0.001638
52,0203_bcsstm19.mtx,0.001691
53,0091_can_62.mtx,0.001733
54,0212_plskz362.mtx,0.018201
55,0133_west0156.mtx,0.001817
56,0117_pivtol.mtx,0.001876
57,0068_mycielskian5.mtx,0.001908
58,0105_GD99_b.mtx,0.002019
59,0103_GD96_c.mtx,0.001993
60,0127_GD98_c.mtx,0.002083
61,0084_pores_1.mtx,0.002027
62,0236_bcsstm08.mtx,0.002156
63,0237_bcsstm09.mtx,0.002245
64,0080_can_24.mtx,0.002177
65,0070_Trefethen_20b.mtx,0.002345
66,0102_Sandi_authors.mtx,0.002306
67,0176_08blocks.mtx,0.002266
68,0077_karate.mtx,0.00226
69,0082_lap_25.mtx,0.002301
70,0078_Trefethen_20.mtx,0.002441
71,0110_dwt_59.mtx,0.002609
72,0116_west0067.mtx,0.002468
73,0126_GD97_a.mtx,0.002718
74,0144_impcol_c.mtx,0.002652
75,0145_west0132.mtx,0.002644
76,0183_GD01_Acap.mtx,0.002759
77,0184_GD01_a.mtx,0.002689
78,0164_west0167.mtx,0.002753
79,0276_bcsstm11.mtx,0.003019
80,0137_olm100.mtx,0.003104
81,0138_tub100.mtx,0.003051
82,0124_dwt_66.mtx,0.00318
83,0363_CSphd.mtx,0.003007
84,0112_will57.mtx,0.003041
85,0175_impcol_a.mtx,0.003052
86,0096_cage5.mtx,0.00304
87,0149_gre_115.mtx,0.003107
88,0121_impcol_b.mtx,0.00326
89,0113_GD95_c.mtx,0.003335
90,0161_rw136.mtx,0.003624
91,0115_curtis54.mtx,0.003505
92,0381_bcsstm26.mtx,0.00381
93,0119_mesh1em1.mtx,0.003738
94,0120_mesh1em6.mtx,0.003879
95,0118_mesh1e1.mtx,0.003951
96,0131_bfwb62.mtx,0.004125
97,0123_dolphins.mtx,0.004174
98,0356_GD96_a.mtx,0.004086
99,0160_bcspwr03.mtx,0.004262
100,0134_can_73.mtx,0.004362
101,0109_GD97_b.mtx,0.004691
102,0193_will199.mtx,0.004963
103,0186_gent113.mtx,0.005583
104,0153_sphere2.mtx,0.005724
105,0223_SmallW.mtx,0.005451
106,0476_bcsstm23.mtx,0.006182
107,0169_lns_131.mtx,0.003707
108,0168_lnsp_131.mtx,0.006127
109,0111_ex5.mtx,0.006234
110,0201_bwm200.mtx,0.006354
111,0205_grid1_dual.mtx,0.006364
112,0490_bibd_81_2.mtx,0.006649
113,0167_ash85.mtx,0.006556
114,0357_shl_0.mtx,0.00621
115,0140_bcsstk01.mtx,0.006958
116,0204_dwt_234.mtx,0.006831
117,0262_S10PI_n1.mtx,0.006969
118,0261_M10PI_n1.mtx,0.00722
119,0508_bcsstm24.mtx,0.007295
120,0227_GD00_c.mtx,0.006754
121,0510_bcsstm21.mtx,0.005642
122,0246_odepa400.mtx,0.007182
123,0359_shl_400.mtx,0.006596
124,0361_shl_200.mtx,0.005889
125,0219_grid1.mtx,0.00751
126,0211_gre_216a.mtx,0.007552
127,0210_gre_216b.mtx,0.007499
128,0182_bcsstk03.mtx,0.007026
129,0177_nos4.mtx,0.007091
130,0152_bfwa62.mtx,0.007236
131,0170_dwt_87.mtx,0.007415
132,0192_bcsstk22.mtx,0.007557
133,0719_EVA.mtx,0.006889
134,0135_GD06_theory.mtx,0.007953
135,0350_M10PI_n.mtx,0.008631
136,0351_S10PI_n.mtx,0.008686
137,0549_t2dal_e.mtx,0.008832
138,0264_impcol_d.mtx,0.008105
139,0130_chesapeake.mtx,0.008634
140,0226_nos1.mtx,0.008994
141,0595_plsk1919.mtx,0.100807
142,0209_robot.mtx,0.009443
143,0231_pde225.mtx,0.009801
144,0217_lop163.mtx,0.010177
145,0240_saylr1.mtx,0.01084
146,0224_gre_185.mtx,0.010989
147,0159_mycielskian6.mtx,0.010847
148,0362_west0497.mtx,0.010836
149,0174_can_61.mtx,0.011359
150,0165_lesmis.mtx,0.011433
151,0202_rajat11.mtx,0.011633
152,0273_gre_343.mtx,0.012117
153,0238_rdb200l.mtx,0.012023
154,0239_rdb200.mtx,0.01255
155,0198_can_96.mtx,0.012288
156,0299_oscil_dcop_28.mtx,0.012445
157,0339_oscil_dcop_35.mtx,0.005699
158,0334_oscil_dcop_53.mtx,0.012176
159,0330_oscil_dcop_51.mtx,0.012652
160,0295_oscil_dcop_12.mtx,0.012173
161,0288_oscil_dcop_23.mtx,0.012518
162,0287_oscil_dcop_24.mtx,0.012684
163,0292_oscil_dcop_14.mtx,0.012121
164,0294_oscil_dcop_11.mtx,0.012023
165,0331_oscil_dcop_48.mtx,0.012105
166,0314_oscil_dcop_56.mtx,0.012683
167,0309_oscil_dcop_01.mtx,0.012583
168,0325_oscil_dcop_08.mtx,0.012143
169,0285_oscil_dcop_38.mtx,0.011835
170,0321_oscil_dcop_06.mtx,0.012106
171,0332_oscil_dcop_50.mtx,0.012442
172,0316_oscil_dcop_05.mtx,0.011968
173,0319_oscil_dcop_27.mtx,0.012451
174,0290_oscil_dcop_25.mtx,0.012521
175,0338_oscil_dcop_44.mtx,0.012301
176,0326_oscil_dcop_32.mtx,0.012069
177,0301_oscil_dcop_15.mtx,0.010527
178,0317_oscil_dcop_03.mtx,0.010600
179,0298_oscil_dcop_22.mtx,0.010433
180,0308_oscil_dcop_45.mtx,0.011526
181,0337_oscil_dcop_40.mtx,0.012478
182,0336_oscil_dcop_07.mtx,0.012293
183,0341_oscil_dcop_41.mtx,0.012473
184,0296_oscil_dcop_16.mtx,0.012671
185,0328_oscil_dcop_49.mtx,0.012249
186,0307_oscil_dcop_26.mtx,0.012220
187,0322_oscil_dcop_46.mtx,0.012320
188,0333_oscil_dcop_55.mtx,0.012250
189,0289_oscil_dcop_21.mtx,0.012708
190,0300_oscil_dcop_29.mtx,0.012732
191,0304_oscil_dcop_10.mtx,0.012059
192,0327_oscil_dcop_33.mtx,0.012887
193,0311_oscil_dcop_36.mtx,0.012436
194,0324_oscil_dcop_52.mtx,0.012542
195,0323_oscil_dcop_31.mtx,0.012172
196,0293_oscil_dcop_17.mtx,0.012572
197,0305_oscil_dcop_42.mtx,0.011947
198,0340_oscil_dcop_39.mtx,0.012024
199,0320_oscil_dcop_04.mtx,0.012003
200,0291_oscil_dcop_57.mtx,0.011705
201,0310_oscil_dcop_09.mtx,0.012448
202,0313_oscil_dcop_18.mtx,0.012632
203,0306_oscil_dcop_20.mtx,0.012654
204,0297_oscil_dcop_13.mtx,0.012729
205,0286_oscil_dcop_43.mtx,0.012790
206,0312_oscil_dcop_02.mtx,0.012751
207,0302_oscil_dcop_19.mtx,0.012914
208,0335_oscil_dcop_54.mtx,0.012396
209,0315_oscil_dcop_37.mtx,0.012690
210,0303_oscil_dcop_47.mtx,0.012933
211,0318_oscil_dcop_30.mtx,0.012655
212,0329_oscil_dcop_34.mtx,0.012813
213,0355_494_bus.mtx,0.012853
214,0717_m3plates.mtx,0.013301
215,0428_S20PI_n1.mtx,0.013522
216,0427_M20PI_n1.mtx,0.013870
217,0346_oscil_trans_01.mtx,0.012164
218,0347_bcspwr05.mtx,0.014087
219,0200_cage6.mtx,0.014319
220,0373_rw496.mtx,0.015049
221,0271_rajat05.mtx,0.014511
222,0455_M20PI_n.mtx,0.015433
223,0456_S20PI_n.mtx,0.015578
224,0379_west0479.mtx,0.014703
225,0383_olm500.mtx,0.016570
226,0194_rotor1.mtx,0.015758
227,0403_netz4504_dual.mtx,0.018502
228,0260_impcol_e.mtx,0.016956
229,0244_dwt_162.mtx,0.017708
230,0222_ck104.mtx,0.018702
231,0407_ch5-5-b3.mtx,0.018832
232,0394_gre_512.mtx,0.019002
233,0278_nnc261.mtx,0.019402
234,0275_dwt_245.mtx,0.020123
235,0213_polbooks.mtx,0.019893
236,0272_dwt_198.mtx,0.020826
237,0416_662_bus.mtx,0.021066
238,0216_steam3.mtx,0.021409
239,0215_spaceStation_1.mtx,0.022269
240,0493_bp_0.mtx,0.019936
241,0208_adjnoun.mtx,0.021525
242,0366_lshp_265.mtx,0.022949
243,0802_EPA.mtx,0.022211
244,0270_can_161.mtx,0.022580
245,0418_dwa512.mtx,0.023568
246,0417_dw256A.mtx,0.023444
247,0277_can_187.mtx,0.023184
248,0451_west0655.mtx,0.023668
249,0392_west0381.mtx,0.022583
250,0420_dw256B.mtx,0.023178
251,0421_dwb512.mtx,0.019175
252,0345_bcspwr04.mtx,0.023627
253,0370_sphere3.mtx,0.024989
254,0349_dwt_221.mtx,0.025012
255,0376_mesh3e1.mtx,0.024881
256,0377_mesh3em5.mtx,0.024600
257,0282_cz148.mtx,0.025149
258,0484_G11.mtx,0.026847
259,0485_G12.mtx,0.025552
260,0486_G13.mtx,0.025663
261,0463_qh768.mtx,0.024300
262,0259_can_144.mtx,0.024625
263,0599_M40PI_n1.mtx,0.024817
264,0600_S40PI_n1.mtx,0.026591
265,0250_football(0).mtx,0.026968
266,0514_stufe.mtx,0.028458
267,0385_mesh2e1.mtx,0.027198
268,0384_mesh2em5.mtx,0.026956
269,0415_str_0.mtx,0.027234
270,0620_S40PI_n.mtx,0.028136
271,0619_M40PI_n.mtx,0.027840
272,0505_west0989.mtx,0.024601
273,0511_L.mtx,0.027343
274,0436_fs_680_3.mtx,0.027420
275,0437_fs_680_1.mtx,0.028036
276,0438_fs_680_2.mtx,0.027868
277,0401_mhdb416.mtx,0.028202
278,0368_can_229.mtx,0.028300
279,0429_rdb450.mtx,0.027755
280,0430_rdb450l.mtx,0.028079
281,0497_qh882.mtx,0.027859
282,0611_netz4504.mtx,0.030389
