index,mtx,pixel_gflops
0,0637_bcspwr07.mtx,0.313466
1,1471_thermal.mtx,12.706828
2,2201_fe_ocean.mtx,3.055759
3,1657_bloweybl.mtx,49.165632
4,0494_str_600.mtx,0.405195
5,0153_sphere2.mtx,0.078228
6,2027_GT01R.mtx,72.376206
7,0309_oscil_dcop_01.mtx,0.104032
8,2149_TSOPF_RS_b39_c19.mtx,15.999205
9,2687_venturiLevel3.mtx,5.396846
10,1504_descriptor_xingo6u.mtx,2.306313
11,1460_rajat07.mtx,0.851377
12,2193_ky2010.mtx,0.686459
13,0491_685_bus.mtx,0.270908
14,0944_grid2_dual.mtx,0.610752
15,2132_blockqp1.mtx,148.850800
16,2749_nlpkkt80.mtx,23.933645
17,0686_fpga_dcop_21.mtx,0.484684
18,2023_loc-Brightkite.mtx,0.548748
19,0297_oscil_dcop_13.mtx,0.104032
20,1443_viscoplastic1.mtx,6.949519
21,0908_adder_dcop_52.mtx,4.575540
22,0287_oscil_dcop_24.mtx,0.104032
23,1562_tuma1.mtx,4.004447
24,2297_Linux_call_graph.mtx,0.486394
25,1768_brainpc2.mtx,122.407225
26,1655_conf6_0-4x4-20.mtx,24.272790
27,0594_tumorAntiAngiogenesis_6.mtx,2.727805
28,0365_tols90.mtx,0.704000
29,0879_adder_dcop_61.mtx,4.598303
30,2422_net100.mtx,14.747866
31,0715_minnesota.mtx,0.246548
32,2486_rgg_n_2_18_s0.mtx,1.361154
33,0068_mycielskian5.mtx,0.033172
34,0666_fpga_dcop_39.mtx,0.482186
35,2507_amazon0601.mtx,0.739047
36,1176_tomography.mtx,11.572202
37,0763_jagmesh5.mtx,0.772269
38,1473_flowmeter0.mtx,2.098837
39,2089_cage11.mtx,2.999339
40,1317_Trefethen_2000.mtx,6.944961
41,2424_bcsstk30.mtx,111.028104
42,0698_bcspwr08.mtx,0.308226
43,2789_road_usa.mtx,1.414916
44,2038_qc2534.mtx,287.704570
45,0198_can_96.mtx,0.192000
46,1536_c-40.mtx,24.984674
47,2177_copter2.mtx,2.305999
48,1715_case9.mtx,85.682612
49,0900_adder_dcop_22.mtx,4.592591
50,0792_nnc1374.mtx,0.759723
51,1600_ex15.mtx,11.390625
52,0578_cdde2.mtx,0.509267
53,0238_rdb200l.mtx,0.160405
54,0609_cage.mtx,0.824552
55,1544_jan99jac040sc.mtx,1.412623
56,1829_s2rmt3m1.mtx,57.040518
57,2099_ut2010.mtx,0.519575
58,0789_mhda416.mtx,3.803737
59,1805_mario001.mtx,2.117858
60,2670_TSOPF_FS_b300_c3.mtx,1094.157579
61,1192_c-28.mtx,2.551363
62,2401_imagesensor.mtx,3.336019
63,2060_soc-Epinions1.mtx,0.403512
64,1047_bcsstm12.mtx,4.132041
65,1067_kineticBatchReactor_1.mtx,4.581086
66,0447_lnsp_511.mtx,0.353673
67,0781_poli.mtx,0.229460
68,0984_pde2961.mtx,1.152848
69,1288_nasa1824(0).mtx,8.369830
70,1019_spaceStation_10.mtx,2.586458
71,1061_rw5151.mtx,1.108264
72,2304_mycielskian13.mtx,43.270855
73,1786_bfly.mtx,2.160527
74,2440_H2O.mtx,5.690450
75,0082_lap_25.mtx,0.040164
76,2750_nd24k.mtx,220.776289
77,0772_G32.mtx,0.711111
78,0149_gre_115.mtx,0.041575
79,1442_sit100.mtx,1.967323
80,1527_LFAT5000.mtx,4.301595
81,0485_G12.mtx,0.341333
82,1163_freeFlyingRobot_6.mtx,3.688686
83,0327_oscil_dcop_33.mtx,0.104878
84,0536_nnc666.mtx,0.386517
85,0871_adder_dcop_67.mtx,4.615526
86,2600_Chevron4.mtx,21.445602
87,2280_ks2010.mtx,0.860547
88,0566_bp_800.mtx,0.167570
89,0402_Chebyshev1.mtx,0.357957
90,1251_dynamicSoaringProblem_6.mtx,13.674568
91,2818_Flan_1565.mtx,65.349551
92,1296_G27.mtx,0.652809
93,2264_Dubcova2.mtx,3.484099
94,0117_pivtol.mtx,0.027818
95,2668_delaunay_n21.mtx,5.953308
96,2584_para-5.mtx,2.344217
97,1087_bcspwr10.mtx,0.151595
98,1136_freeFlyingRobot_5.mtx,3.172501
99,0535_bp_400.mtx,0.154790
100,0611_netz4504.mtx,0.237209
101,1730_vt2010.mtx,0.276471
102,0421_dwb512.mtx,0.305679
103,0029_bcsstm01.mtx,0.002043
104,2551_TSOPF_FS_b300.mtx,928.749746
105,2066_ted_AB_unscaled.mtx,80.696129
106,0504_dwt_512.mtx,0.573486
107,1734_c-49.mtx,6.139468
108,2301_caidaRouterLevel.mtx,0.244427
109,2172_brack2.mtx,4.063326
110,1357_Oregon-1.mtx,1.703847
111,0916_adder_dcop_35.mtx,4.564242
112,2699_af_5_k101.mtx,104.143079
113,2760_road_central.mtx,0.660382
114,0272_dwt_198.mtx,0.240270
115,2517_power197k.mtx,2.940785
116,2324_nemeth22.mtx,461.637443
117,2044_wathen100.mtx,18.837915
118,0740_cavity02.mtx,2.312277
119,1932_EAT_RS.mtx,0.124748
120,0055_bcsstm03.mtx,0.004667
121,0848_cage8.mtx,1.422451
122,0111_ex5.mtx,0.097200
123,1957_mark3jac120sc.mtx,2.072284
124,1749_mark3jac060sc.mtx,0.885452
125,2310_ok2010.mtx,0.575347
126,2014_nv2010.mtx,0.610988
127,1220_cavity08.mtx,9.910653
128,1147_lnsp3937.mtx,2.243824
129,1830_s3rmt3m1.mtx,56.498994
