index,mtx,gflops
0,1009_lp_ship12l.mtx,3.14
1,0637_bcspwr07.mtx,1.121
2,1471_thermal.mtx,12.899
3,2201_fe_ocean.mtx,113.398
4,2480_Trec14.mtx,200.57
5,1657_bloweybl.mtx,23.033
6,0494_str_600.mtx,0.787
7,0153_sphere2.mtx,0.109
8,2027_GT01R.mtx,69.295
9,0309_oscil_dcop_01.mtx,0.364
10,2149_TSOPF_RS_b39_c19.mtx,109.473
11,2687_venturiLevel3.mtx,232.593
12,1504_descriptor_xingo6u.mtx,14.166
13,1396_aa6.mtx,10.387
14,2397_com-Amazon.mtx,128.83
15,1460_rajat07.mtx,12.271
16,2193_ky2010.mtx,95.965
17,0491_685_bus.mtx,0.631
18,0944_grid2_dual.mtx,2.349
19,2132_blockqp1.mtx,102.389
20,0035_n3c4-b3.mtx,0.015
21,2749_nlpkkt80.mtx,257.765
22,0267_n3c6-b2.mtx,0.324
23,0686_fpga_dcop_21.mtx,1.131
24,2023_loc-Brightkite.mtx,59.351
25,0297_oscil_dcop_13.mtx,0.366
26,1443_viscoplastic1.mtx,11.781
27,0908_adder_dcop_52.mtx,2.162
28,0067_lpi_woodinfe.mtx,0.034
29,0287_oscil_dcop_24.mtx,0.37
30,1562_tuma1.mtx,16.779
31,0824_p2756.mtx,1.86
32,2297_Linux_call_graph.mtx,130.516
33,1768_brainpc2.mtx,34.536
34,1655_conf6_0-4x4-20.mtx,23.071
35,0594_tumorAntiAngiogenesis_6.mtx,1.165
36,0365_tols90.mtx,0.413
37,2203_rel8.mtx,100.102
38,0879_adder_dcop_61.mtx,2.162
39,2422_net100.mtx,166.499
40,1922_lp_osa_14.mtx,51.021
41,2529_ASIC_680k.mtx,238.498
42,0715_minnesota.mtx,1.267
43,2486_rgg_n_2_18_s0.mtx,231.621
44,0068_mycielskian5.mtx,0.035
45,1459_car4.mtx,12.198
46,2825_mawi_201512020030.mtx,122.835
47,0666_fpga_dcop_39.mtx,1.135
48,2507_amazon0601.mtx,203.538
49,2151_neos2.mtx,94.907
50,1454_gen.mtx,12.191
51,1176_tomography.mtx,6.828
52,0763_jagmesh5.mtx,1.501
53,2470_GL7d23.mtx,146.11
54,1473_flowmeter0.mtx,12.989
55,2089_cage11.mtx,81.343
56,0106_bibd_9_3.mtx,0.061
57,1317_Trefethen_2000.mtx,8.155
58,2424_bcsstk30.mtx,199.297
59,0698_bcspwr08.mtx,1.164
60,2789_road_usa.mtx,133.16
61,2184_dc2.mtx,106.039
62,2038_qc2534.mtx,74.687
63,0198_can_96.mtx,0.187
64,1536_c-40.mtx,15.606
65,2177_copter2.mtx,105.578
66,1352_IG5-12.mtx,8.938
67,1792_world.mtx,36.509
68,1715_case9.mtx,28.508
69,0900_adder_dcop_22.mtx,2.157
70,1265_GL7d12.mtx,7.188
71,0792_nnc1374.mtx,1.655
72,1600_ex15.mtx,19.139
73,0578_cdde2.mtx,0.899
74,0238_rdb200l.mtx,0.268
75,1185_deter5.mtx,5.65
76,0609_cage.mtx,1.247
77,0253_mk10-b1.mtx,0.284
78,1544_jan99jac040sc.mtx,15.923
79,1362_kneser_8_3_1.mtx,8.966
80,1829_s2rmt3m1.mtx,41.913
81,2099_ut2010.mtx,79.36
82,0789_mhda416.mtx,2.053
83,1805_mario001.mtx,33.264
84,0104_IG5-6.mtx,0.061
85,0622_GL6_D_7.mtx,1.223
86,2670_TSOPF_FS_b300_c3.mtx,250.27
87,1192_c-28.mtx,5.862
88,2401_imagesensor.mtx,184.736
89,1601_sctap1-2b.mtx,19.052
90,2060_soc-Epinions1.mtx,62.099
91,2109_mri1.mtx,94.41
92,0187_rel5.mtx,0.155
93,1047_bcsstm12.mtx,3.839
94,1067_kineticBatchReactor_1.mtx,3.961
95,0447_lnsp_511.mtx,0.669
96,0781_poli.mtx,1.558
97,0984_pde2961.mtx,2.811
98,1288_nasa1824(0).mtx,7.549
99,1019_spaceStation_10.mtx,3.368
100,1061_rw5151.mtx,3.875
101,2304_mycielskian13.mtx,135.303
102,1786_bfly.mtx,33.459
103,2440_H2O.mtx,196.737
104,0082_lap_25.mtx,0.041
105,2750_nd24k.mtx,265.401
106,0478_ch8-8-b1.mtx,0.602
107,0772_G32.mtx,1.538
108,0149_gre_115.mtx,0.102
109,1442_sit100.mtx,11.859
110,1527_LFAT5000.mtx,15.564
111,0485_G12.mtx,0.638
