index,mtx,gflops
0,1009_lp_ship12l.mtx,1.162571
1,0637_bcspwr07.mtx,0.465920
2,1471_thermal.mtx,5.117538
3,2201_fe_ocean.mtx,46.810629
4,2480_Trec14.mtx,124.881087
5,1657_bloweybl.mtx,8.888889
6,0494_str_600.mtx,0.252231
7,0153_sphere2.mtx,0.036000
8,2027_GT01R.mtx,31.919185
9,0309_oscil_dcop_01.mtx,0.118769
10,2149_TSOPF_RS_b39_c19.mtx,45.613733
11,2687_venturiLevel3.mtx,80.341516
12,1504_descriptor_xingo6u.mtx,5.913280
13,1396_aa6.mtx,3.979077
14,2397_com-Amazon.mtx,23.893471
15,1460_rajat07.mtx,5.326083
16,2193_ky2010.mtx,33.522468
17,0491_685_bus.mtx,0.240667
18,0944_grid2_dual.mtx,1.062957
19,2132_blockqp1.mtx,37.649000
20,0035_n3c4-b3.mtx,0.006000
21,2749_nlpkkt80.mtx,172.400432
22,0267_n3c6-b2.mtx,0.094138
23,0686_fpga_dcop_21.mtx,0.436444
24,2023_loc-Brightkite.mtx,23.143568
25,0297_oscil_dcop_13.mtx,0.147048
26,1443_viscoplastic1.mtx,4.218345
27,0908_adder_dcop_52.mtx,0.833037
28,0067_lpi_woodinfe.mtx,0.010370
29,0287_oscil_dcop_24.mtx,0.118769
30,1562_tuma1.mtx,6.500741
31,0824_p2756.mtx,0.717926
32,2297_Linux_call_graph.mtx,42.417825
33,1768_brainpc2.mtx,12.372069
34,1655_conf6_0-4x4-20.mtx,8.874667
35,0594_tumorAntiAngiogenesis_6.mtx,0.355185
36,0365_tols90.mtx,0.120414
37,2203_rel8.mtx,39.135190
38,0879_adder_dcop_61.mtx,1.183789
39,2422_net100.mtx,99.180488
40,1922_lp_osa_14.mtx,23.488667
41,2529_ASIC_680k.mtx,99.276231
42,0715_minnesota.mtx,0.528480
43,2486_rgg_n_2_18_s0.mtx,65.148758
44,0068_mycielskian5.mtx,0.010923
45,1459_car4.mtx,4.551714
46,0666_fpga_dcop_39.mtx,0.453231
47,2507_amazon0601.mtx,38.935494
48,2151_neos2.mtx,41.520424
49,1454_gen.mtx,2.803822
50,1176_tomography.mtx,2.051857
51,0763_jagmesh5.mtx,0.620000
52,2470_GL7d23.mtx,24.957685
53,1473_flowmeter0.mtx,5.183923
54,2089_cage11.mtx,36.111097
55,0106_bibd_9_3.mtx,0.019385
56,1317_Trefethen_2000.mtx,3.223538
57,2424_bcsstk30.mtx,113.527333
58,0698_bcspwr08.mtx,0.504167
59,2789_road_usa.mtx,48.070491
60,2184_dc2.mtx,45.082118
61,2038_qc2534.mtx,26.477714
62,0198_can_96.mtx,0.059077
63,1536_c-40.mtx,5.433400
64,2177_copter2.mtx,41.078486
65,1352_IG5-12.mtx,3.558462
66,1792_world.mtx,14.205929
67,1715_case9.mtx,10.204966
68,0900_adder_dcop_22.mtx,0.865077
69,1265_GL7d12.mtx,3.001520
70,0792_nnc1374.mtx,0.637481
71,1600_ex15.mtx,7.590077
72,0578_cdde2.mtx,0.360077
73,0238_rdb200l.mtx,0.089600
74,1185_deter5.mtx,2.122500
75,0609_cage.mtx,0.379556
76,0253_mk10-b1.mtx,0.096923
77,1544_jan99jac040sc.mtx,6.136444
78,1362_kneser_8_3_1.mtx,3.484593
79,1829_s2rmt3m1.mtx,4.103196
80,2099_ut2010.mtx,24.872435
81,0789_mhda416.mtx,0.658615
82,1805_mario001.mtx,13.300387
83,0104_IG5-6.mtx,0.019308
84,0622_GL6_D_7.mtx,0.398370
85,2670_TSOPF_FS_b300_c3.mtx,255.066602
86,1192_c-28.mtx,2.265926
87,2401_imagesensor.mtx,88.054419
88,1601_sctap1-2b.mtx,7.366963
89,2060_soc-Epinions1.mtx,32.828194
90,2109_mri1.mtx,33.704229
91,0187_rel5.mtx,0.048593
92,1047_bcsstm12.mtx,1.709478
93,1067_kineticBatchReactor_1.mtx,1.420690
94,0447_lnsp_511.mtx,0.207111
95,0781_poli.mtx,0.584857
96,0984_pde2961.mtx,1.080370
97,1288_nasa1824(0).mtx,3.016000
98,1019_spaceStation_10.mtx,1.344462
99,1061_rw5151.mtx,1.553769
100,2304_mycielskian13.mtx,70.156686
101,1786_bfly.mtx,13.107200
102,2440_H2O.mtx,110.836800
103,0082_lap_25.mtx,0.012071
104,2750_nd24k.mtx,300.687267
105,0478_ch8-8-b1.mtx,0.202323
106,0772_G32.mtx,0.640000
107,0149_gre_115.mtx,0.040095
108,1442_sit100.mtx,4.521926
109,1527_LFAT5000.mtx,6.151231
110,0485_G12.mtx,0.256000
111,1163_freeFlyingRobot_6.mtx,1.930714
112,0626_n3c6-b3.mtx,0.404444
113,0327_oscil_dcop_33.mtx,0.118769
114,0536_nnc666.mtx,0.299556
115,0871_adder_dcop_67.mtx,1.124600
116,2600_Chevron4.mtx,155.522244
117,2280_ks2010.mtx,38.682690
118,1673_lp_fit2d.mtx,8.899448
119,0566_bp_800.mtx,0.348769
120,0402_Chebyshev1.mtx,0.149613
121,1251_dynamicSoaringProblem_6.mtx,2.624357
122,2818_Flan_1565.mtx,297.607209
123,1296_G27.mtx,3.075385
124,2264_Dubcova2.mtx,51.511250
125,0117_pivtol.mtx,0.024480
126,2668_delaunay_n21.mtx,82.781684
127,2584_para-5.mtx,82.692489
128,1087_bcspwr10.mtx,1.747360
129,0258_gams30am.mtx,0.095333
130,1136_freeFlyingRobot_5.mtx,1.695310
131,0535_bp_400.mtx,0.298370
132,0611_netz4504.mtx,0.368286
133,1730_vt2010.mtx,11.114143
134,0421_dwb512.mtx,0.208333
135,0029_bcsstm01.mtx,0.003840
136,1417_model9.mtx,3.730400
137,2551_TSOPF_FS_b300.mtx,237.844432
138,2066_ted_AB_unscaled.mtx,38.695333
139,0504_dwt_512.mtx,0.259407
140,1734_c-49.mtx,11.217286
141,2301_caidaRouterLevel.mtx,30.077333
142,2172_brack2.mtx,41.892457
143,1357_Oregon-1.mtx,3.601385
144,0916_adder_dcop_35.mtx,0.937167
145,0707_n4c5-b9.mtx,0.504000
146,1186_TF14.mtx,2.133000
